apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[2.0296226]
1O73_A_1,1.9548372,[2.3312788]
6NTP_A_1,9.128823,[2.4218483]
3SME_A_1,8.262643,[2.278225]
4BJO_A_1,7.5608807,[2.3150673]
2F6F_A_1,7.9059744,[2.3151035]
4QBE_A_1,7.8978105,[2.2173657]
5KA4_A_1,7.213529,[2.257729]
6CWV_A_1,7.981354,[2.2335525]
6CWU_A_1,7.9326577,[2.400864]
1I57_A_1,7.9206886,[2.2396355]
7KEN_A_1,7.8149276,[2.2113028]
7L0C_A_1,7.7894077,[2.2916853]
3A5K_A_1,7.7665625,[2.272254]
3ZV2_A_1,8.25236,[2.2386744]
1H05_A_1,3.2727282,[2.3970933]
4CKZ_A_1,3.3738415,[2.2961302]
1CAN_A_1,4.140302,[1.8369079]
5ZXW_A_1,4.205081,[1.853014]
3MNJ_A_1,4.1369333,[1.8748591]
5CA2_A_1,3.3917072,[1.8308403]
1ZSA_A_1,3.4809418,[1.8603182]
1CAK_A_1,3.296996,[1.8591325]
12CA_A_1,4.1551027,[1.8421557]
1CA3_A_1,4.1008286,[1.8100066]
1UGD_A_1,4.1463895,[1.837908]
1CAJ_A_1,3.296996,[1.8269007]
1HED_A_1,3.2445416,[1.8274105]
1CNH_A_1,4.2293005,[1.8226562]
1UGF_A_1,4.139837,[1.8267438]
2NXR_A_1,4.141303,[1.8349097]
1HEA_A_1,3.2824237,[1.8200221]
1CCT_A_1,3.3452659,[1.8153725]
1UGB_A_1,4.1469254,[1.8306329]
1CVA_A_1,3.3452659,[1.8378365]
1LZV_A_1,4.1218195,[1.8291523]
3DVD_A_1,5.14909,[1.8310153]
6CA2_A_1,3.0536087,[1.8006938]
1CAL_A_1,3.3162649,[1.8524888]
9CA2_A_1,3.042811,[1.810605]
3MNK_A_1,4.142635,[1.8693326]
1CAI_A_1,3.296996,[1.8421607]
1TH9_A_1,4.173479,[1.8358676]
1HEB_A_1,3.2825415,[1.8277493]
3DVC_A_1,5.148861,[1.8346856]
