apo_name,holo_name,holo_chain,apo_chain,ligand,ligand_atom_count,loop_per,holo_count
102L,3run,A,A,OMZ,14,43.776824034334766,1
107L,3run,A,A,OMZ,14,43.776824034334766,1
108L,3run,A,A,OMZ,14,43.776824034334766,1
109L,3run,A,A,OMZ,14,43.776824034334766,1
110L,3run,A,A,OMZ,14,43.776824034334766,1
111L,3run,A,A,OMZ,14,43.776824034334766,1
112L,3run,A,A,OMZ,14,43.776824034334766,1
113L,3run,A,A,OMZ,14,43.776824034334766,1
114L,3run,A,A,OMZ,14,43.776824034334766,1
115L,3run,A,A,OMZ,14,43.776824034334766,1
118L,3run,A,A,OMZ,14,43.776824034334766,1
119L,3run,A,A,OMZ,14,43.776824034334766,1
120L,3run,A,A,OMZ,14,43.776824034334766,1
122L,3run,A,A,OMZ,14,43.776824034334766,1
123L,3run,A,A,OMZ,14,43.776824034334766,1
125L,3run,A,A,OMZ,14,43.776824034334766,1
126L,3run,A,A,OMZ,14,43.776824034334766,1
127L,3run,A,A,OMZ,14,43.776824034334766,1
128L,3run,A,A,OMZ,14,43.776824034334766,1
129L,3run,A,A,OMZ,14,43.776824034334766,1
12CA,3s77,B,A,EVI,9,49.25373134328358,384
12CA,5ekj,A,A,TG4,21,46.96969696969697,384
12CA,5n0d,A,A,8F2,30,50.77605321507761,384
12CA,6g3q,A,A,FO9,20,47.40932642487047,384
12CA,6rvk,A,A,R29,22,46.01990049751244,384
12CA,3rz5,A,A,RZ5,18,43.735763097949885,384
12CA,4bf6,A,A,X0Q,22,45.77114427860697,384
12CA,3p4v,A,A,PMX,22,41.38755980861244,384
12CA,6qfu,A,A,J0K,34,41.00418410041841,384
12CA,1g53,A,A,F6B,22,47.651006711409394,384
12CA,2nns,A,A,M25,16,50.0,384
12CA,4m2u,A,A,ETS,19,47.59036144578313,384
12CA,1yda,A,A,AZM,13,48.258706467661696,384
12CA,3n4b,A,A,WWZ,32,47.80876494023904,384
12CA,4q7p,A,A,MBO,10,50.294117647058826,384
12CA,5ekm,A,A,TG5,19,42.725173210161664,384
12CA,6ceh,A,A,EZ1,14,46.49859943977591,384
12CA,3r17,B,A,5UM,20,47.35632183908047,384
12CA,3rz7,A,A,RZ7,30,46.526315789473685,384
12CA,3kwa,A,A,SPM,14,47.16981132075472,384
12CA,3cyu,A,A,0CR,103,45.2431289640592,384
12CA,5fng,A,A,YIE,13,46.96569920844328,384
12CA,3m67,A,A,E36,28,44.989775051124745,384
12CA,3ryz,A,A,RYZ,24,44.94845360824743,384
12CA,1g4o,A,A,BSB,20,46.411483253588514,384
12CA,4rn4,A,A,3T7,39,41.21338912133891,384
12CA,5tya,A,A,7QS,13,48.06629834254144,384
12CA,3n3j,A,A,WWV,41,47.61904761904761,384
12CA,4mlt,A,A,MBO,10,53.5483870967742,384
12CA,4bf1,A,A,9FK,24,48.55769230769231,384
