apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[2.213126]
1O73_A_1,1.9548372,[2.4659429]
6NTP_A_1,9.128823,[2.77534]
3SME_A_1,8.262643,[2.523448]
4BJO_A_1,7.5608807,[2.6577172]
2F6F_A_1,7.9059744,[2.5686073]
4QBE_A_1,7.8978105,[2.539939]
5KA4_A_1,7.213529,[2.5452085]
6CWV_A_1,7.981354,[2.6206875]
6CWU_A_1,7.9326577,[2.70818]
1I57_A_1,7.9206886,[2.4463642]
7KEN_A_1,7.8149276,[2.4967647]
7L0C_A_1,7.7894077,[2.5843368]
3A5K_A_1,7.7665625,[2.5789967]
3ZV2_A_1,8.25236,[2.5805087]
1H05_A_1,3.2727282,[2.9127502]
4CKZ_A_1,3.3738415,[2.9041762]
1CAN_A_1,4.140302,[2.5536156]
5ZXW_A_1,4.205081,[2.5672765]
3MNJ_A_1,4.1369333,[2.718099]
5CA2_A_1,3.3917072,[2.5818605]
1ZSA_A_1,3.4809418,[2.5367498]
1CAK_A_1,3.296996,[2.5957975]
12CA_A_1,4.1551027,[2.6262293]
1CA3_A_1,4.1008286,[2.4806695]
1UGD_A_1,4.1463895,[2.620592]
1CAJ_A_1,3.296996,[2.5817971]
1HED_A_1,3.2445416,[2.6560378]
1CNH_A_1,4.2293005,[2.5490317]
1UGF_A_1,4.139837,[2.6203637]
2NXR_A_1,4.141303,[2.5578704]
1HEA_A_1,3.2824237,[2.6394205]
1CCT_A_1,3.3452659,[2.519218]
1UGB_A_1,4.1469254,[2.6094594]
1CVA_A_1,3.3452659,[2.5346951]
1LZV_A_1,4.1218195,[2.4954758]
3DVD_A_1,5.14909,[2.4929929]
6CA2_A_1,3.0536087,[2.5215626]
1CAL_A_1,3.3162649,[2.5796728]
9CA2_A_1,3.042811,[2.4778857]
3MNK_A_1,4.142635,[2.6705036]
1CAI_A_1,3.296996,[2.5726829]
1TH9_A_1,4.173479,[2.5297446]
1HEB_A_1,3.2825415,[2.6273599]
3DVC_A_1,5.148861,[2.559744]
1DCA_A_1,3.3427968,[2.5752306]
1G3Z_A_1,4.057468,[2.566556]
3RG4_A_1,4.1915336,[2.5642428]
1TG3_A_1,5.1585927,[2.5653324]
1H9Q_A_1,3.5762584,[2.625214]
1CNI_A_1,4.2621136,[2.574123]
1CNG_A_1,3.4397168,[2.5215917]
1H9N_A_1,3.5729108,[2.5964365]
1BIC_A_1,3.3917072,[2.6273026]
1UGE_A_1,4.108273,[2.53224]
1CCU_A_1,3.3452659,[2.580574]
4QK1_A_1,4.116049,[2.33497]
4YGJ_A_1,4.122528,[2.4470754]
