apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[1.2480814]
4MD8_E_1,3.7329202,[1.2304413]
2R7I_A_1,3.7986329,[1.2553266]
5ZN5_A_1,4.044492,[1.2436259]
4MD9_E_1,3.554365,[1.2641253]
4DGL_C_1,4.1990356,[1.2148203]
1NA7_A_1,4.128056,[1.2566024]
5ZN0_A_1,4.013639,[1.251776]
5ZN4_A_1,4.05482,[1.2488976]
5ZN3_A_1,4.0333433,[1.2487199]
5ZN2_A_1,4.0034885,[1.2489432]
1C5M_D_1,6.500857,[1.2808328]
1HCG_A_1,4.1621423,[1.2955582]
4I70_A_1,1.0008225,[1.2865784]
2X0G_A_1,2.9365442,[1.2251968]
6FHA_A_1,2.8593965,[1.2825035]
2XZS_A_1,2.9587965,[1.2649314]
2Y4P_A_1,2.8034377,[1.2692741]
1WVW_A_1,2.820965,[1.2750463]
4UC6_A_1,1.69529,[1.261534]
2YHM_A_1,1.5523096,[1.1892898]
2WJ8_A_1,1.5059754,[1.173455]
4UC7_A_1,1.1602758,[1.270881]
5BWY_A_1,7.2368517,[1.2451711]
3F9Q_A_1,2.784664,[1.2729354]
4ZKF_A_1,1.3120357,[1.2042661]
2OS5_A_1,0.73040825,[1.3080254]
3G2G_A_1,2.526961,[1.2302432]
6FV3_A_1,0.70758176,[1.2286892]
3TD3_A_1,0.43696254,[1.3002577]
2I8N_A_1,4.076313,[1.306009]
7KJB_A_1,2.2556543,[1.1981521]
4P2K_A_1,2.5796943,[1.235693]
5EK7_A_1,2.048345,[1.2504191]
1WM9_A_1,0.28988057,[1.2535049]
4GUL_A_1,1.370619,[1.2731299]
4HLT_A_1,1.5182205,[1.2985952]
2ARA_A_1,0.81850064,[1.3577397]
6DYM_A_1,0.7500317,[1.3569553]
1GOW_A_1,1.4607446,[1.2300755]
1T0V_A_1,2.3611553,[1.3282132]
3DTQ_A_1,0.8104154,[1.364121]
1QQJ_A_1,1.0289809,[1.2225246]
1B7X_B_1,9.014055,[1.3083472]
1DM4_B_1,7.4325852,[1.3079848]
4H6S_B_1,7.458127,[1.3107908]
4H6T_A_1,8.268205,[1.2982471]
1AK5_A_1,1.4761107,[1.2631538]
5HFQ_A_1,0.8597294,[1.3328965]
2G4A_A_1,4.09692,[1.3390062]
