apo_name,true_label,predicted_label
2OUV_A_1,8.522723,[7.8409576]
1O73_A_1,1.9548372,[3.7642019]
6NTP_A_1,9.128823,[8.853053]
4BJO_A_1,7.5608807,[9.060541]
2F6F_A_1,7.9059744,[9.0047455]
4QBE_A_1,7.8978105,[7.947288]
5KA4_A_1,7.213529,[7.7798653]
6CWV_A_1,7.981354,[7.621162]
6CWU_A_1,7.9326577,[9.460073]
7KEN_A_1,7.8149276,[7.530604]
7L0C_A_1,7.7894077,[8.097246]
3A5K_A_1,7.7665625,[7.843507]
3ZV2_A_1,8.25236,[8.087684]
4CKZ_A_1,3.3738415,[3.5644393]
1CAN_A_1,4.140302,[5.015818]
3MNJ_A_1,4.1369333,[5.576908]
1ZSA_A_1,3.4809418,[4.808826]
1CAK_A_1,3.296996,[5.177803]
12CA_A_1,4.1551027,[4.7348876]
1CA3_A_1,4.1008286,[4.730724]
1UGD_A_1,4.1463895,[5.314092]
1CAJ_A_1,3.296996,[5.230984]
1HED_A_1,3.2445416,[4.966641]
1CNH_A_1,4.2293005,[4.784385]
1UGF_A_1,4.139837,[4.7484255]
2NXR_A_1,4.141303,[4.6114116]
1HEA_A_1,3.2824237,[4.425962]
1CCT_A_1,3.3452659,[4.679356]
3DVD_A_1,5.14909,[5.0665975]
1CAL_A_1,3.3162649,[4.981763]
9CA2_A_1,3.042811,[4.405846]
3MNK_A_1,4.142635,[5.664796]
1CAI_A_1,3.296996,[5.2514453]
1TH9_A_1,4.173479,[5.2383018]
1HEB_A_1,3.2825415,[4.910723]
3DVC_A_1,5.148861,[5.516331]
1G3Z_A_1,4.057468,[5.0200963]
3RG4_A_1,4.1915336,[4.6122274]
1TG3_A_1,5.1585927,[5.211333]
1CNI_A_1,4.2621136,[5.4539046]
1CNG_A_1,3.4397168,[4.9660516]
1H9N_A_1,3.5729108,[4.5090675]
1BIC_A_1,3.3917072,[5.1726766]
1UGE_A_1,4.108273,[4.9717593]
1CCU_A_1,3.3452659,[4.6591897]
4QK1_A_1,4.116049,[5.5215144]
4YGJ_A_1,4.122528,[5.020459]
3DV7_A_1,5.151066,[5.220016]
1CCS_A_1,3.3435767,[4.577495]
7CA2_A_1,3.0406842,[4.6647744]
1CVF_A_1,4.510287,[4.8390336]
1HEC_A_1,3.2847116,[5.209746]
3DVB_A_1,5.148794,[5.8003592]
1CVE_A_1,3.5813978,[4.418526]
8CA2_A_1,3.0631206,[4.9070272]
1UGC_A_1,4.106978,[4.800363]
1UGA_A_1,4.120177,[5.0536265]
2NWO_A_1,5.160262,[5.399442]
3RG3_A_1,4.2132516,[5.153732]
2NWY_A_1,4.145458,[5.2091274]
1CNB_A_1,4.547288,[4.1317477]
1HVA_A_1,4.5254927,[4.384268]
2FNK_A_1,5.1339974,[4.706965]
1FQL_A_1,4.1442637,[5.078366]
1YO0_A_1,4.262053,[4.989505]
1LG5_A_1,3.3703973,[5.5770397]
3M1Q_A_1,5.2163815,[5.2832584]
1CVD_A_1,3.5729108,[4.472799]
1CVH_A_1,3.4810338,[4.617131]
4MD7_E_1,3.731822,[5.5097256]
4MD8_E_1,3.7329202,[4.4715242]
2R7I_A_1,3.7986329,[4.7906785]
5ZN5_A_1,4.044492,[4.6366134]
4MD9_E_1,3.554365,[6.4234457]
4DGL_C_1,4.1990356,[5.203322]
5ZN4_A_1,4.05482,[5.300385]
5ZN3_A_1,4.0333433,[6.257384]
5ZN2_A_1,4.0034885,[5.275285]
2PV3_A_1,1.3798342,[4.620876]
5GKY_B_1,2.6315193,[3.7325423]
2PPP_A_1,2.2742937,[4.2753882]
2PPO_A_1,2.3127685,[3.9361396]
1EYM_A_1,2.600794,[4.5241647]
7E73_A_1,3.744397,[4.4498563]
3ZU7_A_1,5.9916024,[4.9180336]
6OT6_A_1,6.004528,[4.163413]
6OTS_A_1,5.7045937,[4.496055]
3R63_A_1,6.032362,[5.1289606]
2FYS_A_1,5.992795,[5.257511]
4S2Z_A_1,6.0364895,[4.6588926]
4S30_A_1,6.021448,[5.137097]
6D5Y_A_1,3.6304314,[3.9526646]
7E75_A_1,3.5722876,[3.2987316]
6RFP_A_1,1.8824314,[4.1388736]
2E7O_A_1,4.0966973,[4.4673576]
1OS2_A_1,2.9718325,[4.39564]
2K9C_A_1,3.650009,[3.8505814]
1AWQ_A_1,8.062663,[8.414088]
1OD0_A_1,1.9650774,[1.7587928]
6R6H_V_1,3.0244708,[2.8312573]
4JX3_A_1,2.3973048,[2.6792686]
2CGH_A_1,1.8016777,[3.5287142]
1CRM_A_1,4.199846,[5.4173775]
3SK1_A_1,0.7561243,[3.9392164]
7YER_B_1,6.1200795,[7.544172]
3FKE_A_1,5.9699826,[4.063087]
5BPV_A_1,5.826239,[6.3916736]
5MXE_A_1,0.38467512,[2.1271157]
5UFB_A_1,0.73207724,[2.0954149]
5J80_A_1,3.3503292,[3.2536087]
8B7I_A_1,2.7649524,[3.5544572]
6GP4_A_1,2.7264779,[3.6671867]
2K5B_A_1,2.981444,[3.4203815]
7CML_A_1,3.0172095,[3.3342285]
5UQ1_A_1,5.645637,[4.575726]
4ZKS_U_1,4.4886456,[4.6656566]
1ZJD_A_1,3.9131076,[4.576987]
1XXD_A_1,3.0630946,[3.895454]
1IDP_A_1,2.0050285,[3.497626]
1GYJ_A_1,9.84299,[11.742184]
6MRQ_A_1,3.8379123,[4.036074]
1OPH_B_1,8.355222,[8.549528]
3VEQ_B_1,8.874638,[8.267288]
1TAW_A_1,3.8087063,[4.178948]
1Q9P_A_1,6.943831,[6.7009583]
7DHA_A_1,3.4679642,[3.971857]
2DP3_A_1,1.8111482,[2.825862]
4BI5_A_1,2.839576,[2.9376078]
1BBS_A_1,8.978439,[8.155333]
2X0B_A_1,6.882694,[6.968322]
3IWQ_A_1,3.6474621,[6.32322]
1L0F_A_1,3.6568022,[5.463724]
1L0D_A_1,3.6541648,[6.5547566]
3IXD_A_1,2.2217178,[6.1639686]
3IWI_A_1,9.614262,[7.9722657]
1OBP_A_1,2.2675579,[4.926395]
6C4S_A_1,1.8635042,[6.938165]
