apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[2.1402314]
4MD8_E_1,3.7329202,[2.3760107]
2R7I_A_1,3.7986329,[2.3340857]
5ZN5_A_1,4.044492,[2.0695448]
4MD9_E_1,3.554365,[2.3429444]
4DGL_C_1,4.1990356,[2.5064118]
1NA7_A_1,4.128056,[2.3646886]
5ZN0_A_1,4.013639,[2.009516]
5ZN4_A_1,4.05482,[1.9939369]
5ZN3_A_1,4.0333433,[1.9739395]
5ZN2_A_1,4.0034885,[1.9740969]
1C5M_D_1,6.500857,[2.4802752]
1HCG_A_1,4.1621423,[2.403608]
4I70_A_1,1.0008225,[2.6394198]
2X0G_A_1,2.9365442,[3.2665353]
6FHA_A_1,2.8593965,[3.086393]
2XZS_A_1,2.9587965,[2.958306]
2Y4P_A_1,2.8034377,[3.0101016]
1WVW_A_1,2.820965,[2.8670306]
4UC6_A_1,1.69529,[3.4534314]
2YHM_A_1,1.5523096,[4.321459]
2WJ8_A_1,1.5059754,[4.310459]
4UC7_A_1,1.1602758,[3.3680756]
5BWY_A_1,7.2368517,[2.8370025]
3F9Q_A_1,2.784664,[2.4111695]
4ZKF_A_1,1.3120357,[2.984094]
2OS5_A_1,0.73040825,[2.670786]
3G2G_A_1,2.526961,[2.9835837]
6FV3_A_1,0.70758176,[2.8401468]
3TD3_A_1,0.43696254,[2.3832345]
2I8N_A_1,4.076313,[3.4623382]
7KJB_A_1,2.2556543,[2.8990119]
4P2K_A_1,2.5796943,[2.711406]
5EK7_A_1,2.048345,[2.6481123]
1WM9_A_1,0.28988057,[2.8589647]
4GUL_A_1,1.370619,[2.7347102]
4HLT_A_1,1.5182205,[2.6645567]
2ARA_A_1,0.81850064,[2.2799532]
6DYM_A_1,0.7500317,[2.8417213]
1GOW_A_1,1.4607446,[2.2465858]
1T0V_A_1,2.3611553,[2.6941628]
3DTQ_A_1,0.8104154,[3.122825]
1QQJ_A_1,1.0289809,[3.140856]
1B7X_B_1,9.014055,[2.1484597]
1DM4_B_1,7.4325852,[2.345231]
4H6S_B_1,7.458127,[2.2440045]
4H6T_A_1,8.268205,[2.468611]
1AK5_A_1,1.4761107,[2.787135]
5HFQ_A_1,0.8597294,[2.6321838]
2G4A_A_1,4.09692,[2.50523]
