apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[5.044034]
4MD8_E_1,3.7329202,[5.043873]
2R7I_A_1,3.7986329,[5.0445166]
5ZN5_A_1,4.044492,[5.0431013]
4MD9_E_1,3.554365,[5.0452013]
4DGL_C_1,4.1990356,[5.043974]
1NA7_A_1,4.128056,[5.044674]
5ZN0_A_1,4.013639,[5.0435066]
5ZN4_A_1,4.05482,[5.0433645]
5ZN3_A_1,4.0333433,[5.0433836]
5ZN2_A_1,4.0034885,[5.043397]
1C5M_D_1,6.500857,[5.043084]
1HCG_A_1,4.1621423,[5.0429955]
4I70_A_1,1.0008225,[5.041642]
2X0G_A_1,2.9365442,[5.0430307]
6FHA_A_1,2.8593965,[5.0434027]
2XZS_A_1,2.9587965,[5.0425615]
2Y4P_A_1,2.8034377,[5.0438776]
1WVW_A_1,2.820965,[5.043126]
4UC6_A_1,1.69529,[5.043767]
2YHM_A_1,1.5523096,[5.042797]
2WJ8_A_1,1.5059754,[5.0422754]
4UC7_A_1,1.1602758,[5.0436544]
5BWY_A_1,7.2368517,[5.0408764]
3F9Q_A_1,2.784664,[5.041298]
4ZKF_A_1,1.3120357,[5.0410166]
2OS5_A_1,0.73040825,[5.0474253]
3G2G_A_1,2.526961,[5.041397]
6FV3_A_1,0.70758176,[5.039648]
3TD3_A_1,0.43696254,[5.0481443]
2I8N_A_1,4.076313,[5.046509]
7KJB_A_1,2.2556543,[5.0424814]
4P2K_A_1,2.5796943,[5.04272]
5EK7_A_1,2.048345,[5.041891]
1WM9_A_1,0.28988057,[5.0440235]
4GUL_A_1,1.370619,[5.0424566]
4HLT_A_1,1.5182205,[5.0419836]
2ARA_A_1,0.81850064,[5.0471334]
6DYM_A_1,0.7500317,[5.045678]
1GOW_A_1,1.4607446,[5.0403824]
1T0V_A_1,2.3611553,[5.0448723]
3DTQ_A_1,0.8104154,[5.045806]
1QQJ_A_1,1.0289809,[5.041398]
1B7X_B_1,9.014055,[5.044421]
1DM4_B_1,7.4325852,[5.044421]
4H6S_B_1,7.458127,[5.0443344]
4H6T_A_1,8.268205,[5.043973]
1AK5_A_1,1.4761107,[5.0409536]
5HFQ_A_1,0.8597294,[5.0500507]
2G4A_A_1,4.09692,[5.0497904]
2OGQ_A_1,1.4784664,[5.0449667]
1Q4O_A_1,1.8699642,[5.0448503]
3PJW_A_1,1.3188869,[5.041155]
1NGL_A_1,4.6178026,[5.044466]
4LC2_A_1,1.3464109,[5.049883]
2Y90_A_1,6.064744,[5.051462]
3QHS_A_1,6.098432,[5.053376]
1HK9_A_1,6.0914383,[5.054188]
4RCB_A_1,6.0135117,[5.053133]
6BDG_A_1,6.031841,[5.0544176]
5EF9_A_1,1.3748943,[5.0455427]
3ALS_A_1,0.49918923,[5.0459356]
2GEB_A_1,1.1567773,[5.0447865]
5DEM_A_1,7.136721,[5.0413256]
3TDU_A_1,1.2529916,[5.045745]
4G6C_A_1,1.4678649,[5.042265]
1PK6_A_1,0.29960898,[5.043785]
6EDB_A_1,3.3574235,[5.0440073]
4O68_A_1,2.8145108,[5.043812]
4MKP_A_1,2.9295137,[5.0445395]
7C0M_K_1,2.704813,[5.044079]
4KM5_A_1,2.7854733,[5.043949]
6Y5D_K_1,2.1737041,[5.0431404]
6CT9_A_1,0.89990115,[5.043399]
6EDC_A_1,0.8864968,[5.043721]
2JU3_A_1,3.536448,[5.043767]
1LXA_A_1,9.348201,[5.0415306]
3CIV_A_1,1.4328883,[5.042123]
2APR_A_1,1.3288075,[5.040517]
1UH7_A_1,1.2992465,[5.0405836]
2V5Q_A_1,1.4381927,[5.044423]
3KD2_A_1,1.5789716,[5.0414457]
4DMC_A_1,1.6854838,[5.043092]
4DM7_A_1,1.6183263,[5.042551]
3PI6_A_1,1.6332983,[5.04268]
4DLN_A_1,1.734278,[5.042989]
3KDA_A_1,1.7212871,[5.0426617]
4DMF_A_1,1.9212155,[5.041857]
2W7S_A_1,1.1373402,[5.042407]
3VA1_A_1,0.9060636,[5.049139]
1H3I_A_1,4.8903623,[5.0423355]
1MJ5_A_1,0.4063992,[5.04391]
1IZ7_A_1,0.40954405,[5.043578]
1CV2_A_1,0.43767342,[5.0435276]
4WDQ_A_1,1.1622148,[5.0443068]
3NWU_A_1,3.5241976,[5.044141]
7SJO_A_1,3.541916,[5.0454845]
6Z0E_A_1,3.4423497,[5.0453186]
7SJN_A_1,3.77304,[5.046008]
3TJN_A_1,3.5442271,[5.044924]
7O0J_A_1,3.5987575,[5.046708]
1MVG_A_1,2.4946303,[5.046438]
2BMY_A_1,1.087114,[5.044695]
6DO6_A_1,1.8634341,[5.0475626]
2F73_A_1,1.726234,[5.046938]
2PY1_A_1,3.3159764,[5.046464]
2L67_A_1,1.8454595,[5.0483017]
3HMH_A_1,1.8098115,[5.0475397]
3UMZ_A_1,0.6729376,[5.049591]
3UN0_A_1,0.81308746,[5.0513115]
2WFE_A_1,1.037166,[5.043845]
2OVP_B_1,0.7954653,[5.036971]
4PGG_A_1,0.6355336,[5.042777]
3Q1Q_A_1,0.74683267,[5.0529795]
5IA7_A_1,0.67637175,[5.052292]
5IA8_A_1,0.5819271,[5.0517845]
7W3N_A_1,1.0529157,[5.051816]
3OBQ_A_1,0.78903395,[5.047062]
3EW1_A_1,0.6987774,[5.0468044]
3FEQ_A_1,0.36096638,[5.040326]
4D8B_A_1,0.8719216,[5.0424614]
1CRW_G_1,0.58331436,[5.0402527]
6AJD_A_1,0.4045916,[5.039424]
2PNS_A_1,0.7312482,[5.0442753]
5T3T_A_1,0.85373574,[5.049322]
3ZPE_A_1,0.32012194,[5.0497866]
4G8K_A_1,1.4028165,[5.0411253]
2GT1_A_1,0.4827125,[5.042238]
4J1V_A_1,6.052122,[5.046012]
1PI1_A_1,1.1768988,[5.0464516]
5TWF_A_1,5.9037414,[5.045781]
4Z88_A_1,0.65284157,[5.0537453]
2M0T_A_1,1.4191357,[5.0495043]
7PK5_A_1,1.168962,[5.0428276]
8HGQ_A_1,1.2625777,[5.044016]
3VYN_A_1,2.123213,[5.0406876]
5DU7_A_1,2.144146,[5.038574]
3TX4_A_1,1.8375757,[5.040758]
7A11_A_1,2.081546,[5.04082]
6Z6Z_A_1,2.193616,[5.046589]
2E45_A_1,1.3531673,[5.052167]
6P7P_A_1,0.6826601,[5.0431185]
4PK9_A_1,0.62139803,[5.0420685]
3KQG_A_1,0.5699539,[5.0468864]
3P7F_A_1,0.2512219,[5.047557]
3C22_A_1,0.61653614,[5.048209]
7WZ8_A_1,0.9392014,[5.0476494]
1X9E_A_1,1.1596884,[5.040514]
3ZFY_A_1,0.80151165,[5.0440617]
1NZO_A_1,1.434341,[5.0410767]
1HD8_A_1,1.6624638,[5.042963]
5C7J_A_1,1.0809916,[5.042964]
2KRG_A_1,1.5427235,[5.048168]
2KJD_A_1,2.4940813,[5.0486946]
6RQR_A_1,1.859682,[5.045663]
2DFI_A_1,0.4736145,[5.0418215]
1VHI_A_1,1.2843506,[5.047819]
1B3T_A_1,0.99820226,[5.048767]
5WMF_A_1,1.1441543,[5.0492926]
1MH6_A_1,1.4389518,[5.0486526]
3H60_A_1,0.45595708,[5.042226]
5J34_A_1,1.1613342,[5.0406933]
3E6U_A_1,0.7087006,[5.040596]
4BWS_C_1,1.5855671,[5.051093]
1SYX_B_1,1.601894,[5.051852]
1GYF_A_1,0.7771428,[5.051443]
3EES_A_1,1.3989031,[5.04908]
7DE0_A_1,0.72895926,[5.044568]
6OXJ_A_1,4.353174,[5.044692]
3P16_A_1,2.8472834,[5.0419064]
4TR7_A_1,6.30339,[5.0424795]
3RB9_A_1,2.04006,[5.041625]
2D4U_A_1,1.2662371,[5.0453577]
2HDV_A_1,1.148598,[5.05002]
3MQP_A_1,0.9300933,[5.0474205]
2VM6_A_1,0.76853806,[5.0480366]
5UUK_A_1,1.0839517,[5.0474844]
2YRO_A_1,1.1753367,[5.0474653]
2EQB_A_1,5.621838,[5.0452127]
3URY_A_1,1.350721,[5.044628]
2W46_A_1,0.4925698,[5.0452003]
3KV9_A_1,0.7181414,[5.0428686]
1WHV_A_1,1.234038,[5.0468025]
4LZ6_A_1,0.6883965,[5.0380316]
5C6N_A_1,0.7879317,[5.0376616]
2PEK_A_1,0.9730953,[5.0470734]
3D5V_A_1,0.884969,[5.0454817]
3D5U_A_1,0.8649931,[5.0450163]
1KS9_A_1,1.3870682,[5.0432615]
6E8H_A_1,1.1220676,[5.046049]
2K1Z_A_1,2.0571737,[5.048357]
6JUE_L_1,1.4755123,[5.051051]
1KMZ_A_1,0.7180862,[5.046997]
3FNS_A_1,1.2883344,[5.041622]
5HFR_A_1,0.5567769,[5.049938]
2E7N_A_1,3.821232,[5.0479774]
5GS8_A_1,0.71154916,[5.041318]
3UTK_A_1,0.8708626,[5.0512257]
4LHX_A_1,0.54088444,[5.046154]
2FU5_C_1,4.7293997,[5.0463705]
3QRV_A_1,1.7791926,[5.0417185]
3RT2_A_1,2.2734385,[5.045683]
3RT0_C_1,1.0986636,[5.046664]
1PKL_A_1,1.0911547,[5.0402412]
6HQ2_A_1,1.1803838,[5.049382]
4FH8_A_1,0.8134006,[5.046179]
6GFL_A_1,1.1165062,[5.042615]
