apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[5.3707523]
4MD8_E_1,3.7329202,[5.370381]
2R7I_A_1,3.7986329,[5.370735]
5ZN5_A_1,4.044492,[5.3699965]
4MD9_E_1,3.554365,[5.371718]
4DGL_C_1,4.1990356,[5.370436]
1NA7_A_1,4.128056,[5.370678]
5ZN0_A_1,4.013639,[5.3703065]
5ZN4_A_1,4.05482,[5.3700194]
5ZN3_A_1,4.0333433,[5.370049]
5ZN2_A_1,4.0034885,[5.3700604]
1C5M_D_1,6.500857,[5.368419]
1HCG_A_1,4.1621423,[5.368479]
4I70_A_1,1.0008225,[5.368128]
2X0G_A_1,2.9365442,[5.3699923]
6FHA_A_1,2.8593965,[5.369943]
2XZS_A_1,2.9587965,[5.370076]
2Y4P_A_1,2.8034377,[5.3712654]
1WVW_A_1,2.820965,[5.3709393]
4UC6_A_1,1.69529,[5.3707976]
2YHM_A_1,1.5523096,[5.368924]
2WJ8_A_1,1.5059754,[5.36843]
4UC7_A_1,1.1602758,[5.3710046]
5BWY_A_1,7.2368517,[5.369013]
3F9Q_A_1,2.784664,[5.369272]
4ZKF_A_1,1.3120357,[5.367836]
2OS5_A_1,0.73040825,[5.3739214]
3G2G_A_1,2.526961,[5.367991]
6FV3_A_1,0.70758176,[5.365886]
3TD3_A_1,0.43696254,[5.3725643]
2I8N_A_1,4.076313,[5.375057]
7KJB_A_1,2.2556543,[5.368796]
4P2K_A_1,2.5796943,[5.36926]
5EK7_A_1,2.048345,[5.3690395]
1WM9_A_1,0.28988057,[5.370219]
4GUL_A_1,1.370619,[5.3688602]
4HLT_A_1,1.5182205,[5.3691316]
2ARA_A_1,0.81850064,[5.372235]
6DYM_A_1,0.7500317,[5.3727264]
1GOW_A_1,1.4607446,[5.3671446]
1T0V_A_1,2.3611553,[5.3718038]
3DTQ_A_1,0.8104154,[5.3729625]
1QQJ_A_1,1.0289809,[5.3680067]
1B7X_B_1,9.014055,[5.3694587]
1DM4_B_1,7.4325852,[5.369114]
4H6S_B_1,7.458127,[5.3695965]
4H6T_A_1,8.268205,[5.369709]
1AK5_A_1,1.4761107,[5.3680463]
5HFQ_A_1,0.8597294,[5.375563]
2G4A_A_1,4.09692,[5.375243]
2OGQ_A_1,1.4784664,[5.3712964]
1Q4O_A_1,1.8699642,[5.37043]
3PJW_A_1,1.3188869,[5.367476]
1NGL_A_1,4.6178026,[5.3714495]
4LC2_A_1,1.3464109,[5.3750343]
2Y90_A_1,6.064744,[5.3780584]
3QHS_A_1,6.098432,[5.378497]
1HK9_A_1,6.0914383,[5.378766]
4RCB_A_1,6.0135117,[5.377991]
6BDG_A_1,6.031841,[5.379432]
5EF9_A_1,1.3748943,[5.372122]
3ALS_A_1,0.49918923,[5.37088]
2GEB_A_1,1.1567773,[5.3710694]
5DEM_A_1,7.136721,[5.3670273]
3TDU_A_1,1.2529916,[5.3730283]
4G6C_A_1,1.4678649,[5.368129]
1PK6_A_1,0.29960898,[5.371069]
6EDB_A_1,3.3574235,[5.3714495]
4O68_A_1,2.8145108,[5.371301]
4MKP_A_1,2.9295137,[5.371783]
7C0M_K_1,2.704813,[5.371451]
4KM5_A_1,2.7854733,[5.371236]
6Y5D_K_1,2.1737041,[5.370114]
6CT9_A_1,0.89990115,[5.370271]
6EDC_A_1,0.8864968,[5.3708916]
2JU3_A_1,3.536448,[5.370652]
1LXA_A_1,9.348201,[5.366463]
3CIV_A_1,1.4328883,[5.3684683]
2APR_A_1,1.3288075,[5.3683834]
1UH7_A_1,1.2992465,[5.3681593]
2V5Q_A_1,1.4381927,[5.3703947]
3KD2_A_1,1.5789716,[5.36821]
4DMC_A_1,1.6854838,[5.3695817]
4DM7_A_1,1.6183263,[5.3689404]
3PI6_A_1,1.6332983,[5.36946]
4DLN_A_1,1.734278,[5.369358]
3KDA_A_1,1.7212871,[5.3694673]
4DMF_A_1,1.9212155,[5.368514]
2W7S_A_1,1.1373402,[5.3689203]
3VA1_A_1,0.9060636,[5.373268]
1H3I_A_1,4.8903623,[5.3684554]
1MJ5_A_1,0.4063992,[5.36992]
1IZ7_A_1,0.40954405,[5.3692894]
1CV2_A_1,0.43767342,[5.3694]
4WDQ_A_1,1.1622148,[5.370156]
3NWU_A_1,3.5241976,[5.3707175]
7SJO_A_1,3.541916,[5.372492]
6Z0E_A_1,3.4423497,[5.3714614]
7SJN_A_1,3.77304,[5.3728924]
3TJN_A_1,3.5442271,[5.3708158]
7O0J_A_1,3.5987575,[5.374144]
1MVG_A_1,2.4946303,[5.373871]
2BMY_A_1,1.087114,[5.3692656]
6DO6_A_1,1.8634341,[5.374823]
2F73_A_1,1.726234,[5.37449]
2PY1_A_1,3.3159764,[5.3748126]
2L67_A_1,1.8454595,[5.375631]
3HMH_A_1,1.8098115,[5.374084]
3UMZ_A_1,0.6729376,[5.374108]
3UN0_A_1,0.81308746,[5.3749423]
2WFE_A_1,1.037166,[5.3709764]
2OVP_B_1,0.7954653,[5.362628]
4PGG_A_1,0.6355336,[5.3694715]
3Q1Q_A_1,0.74683267,[5.375555]
5IA7_A_1,0.67637175,[5.3770366]
5IA8_A_1,0.5819271,[5.3768587]
7W3N_A_1,1.0529157,[5.3770213]
3OBQ_A_1,0.78903395,[5.373696]
3EW1_A_1,0.6987774,[5.3734126]
3FEQ_A_1,0.36096638,[5.3667045]
4D8B_A_1,0.8719216,[5.368702]
1CRW_G_1,0.58331436,[5.3678617]
6AJD_A_1,0.4045916,[5.366202]
2PNS_A_1,0.7312482,[5.369537]
5T3T_A_1,0.85373574,[5.375964]
3ZPE_A_1,0.32012194,[5.375193]
4G8K_A_1,1.4028165,[5.366187]
2GT1_A_1,0.4827125,[5.3688307]
4J1V_A_1,6.052122,[5.372903]
1PI1_A_1,1.1768988,[5.3733683]
5TWF_A_1,5.9037414,[5.373352]
4Z88_A_1,0.65284157,[5.3772545]
2M0T_A_1,1.4191357,[5.3724627]
7PK5_A_1,1.168962,[5.3709507]
8HGQ_A_1,1.2625777,[5.371138]
3VYN_A_1,2.123213,[5.365968]
5DU7_A_1,2.144146,[5.3654094]
3TX4_A_1,1.8375757,[5.3674626]
7A11_A_1,2.081546,[5.368001]
6Z6Z_A_1,2.193616,[5.3731728]
2E45_A_1,1.3531673,[5.3792562]
6P7P_A_1,0.6826601,[5.3698077]
4PK9_A_1,0.62139803,[5.3694234]
3KQG_A_1,0.5699539,[5.3718343]
3P7F_A_1,0.2512219,[5.37304]
3C22_A_1,0.61653614,[5.373055]
7WZ8_A_1,0.9392014,[5.3714786]
1X9E_A_1,1.1596884,[5.3672876]
3ZFY_A_1,0.80151165,[5.370435]
1NZO_A_1,1.434341,[5.3674946]
1HD8_A_1,1.6624638,[5.369028]
5C7J_A_1,1.0809916,[5.3694224]
2KRG_A_1,1.5427235,[5.374467]
2KJD_A_1,2.4940813,[5.3728514]
6RQR_A_1,1.859682,[5.3728557]
2DFI_A_1,0.4736145,[5.3684216]
1VHI_A_1,1.2843506,[5.3720646]
1B3T_A_1,0.99820226,[5.373196]
5WMF_A_1,1.1441543,[5.3730407]
1MH6_A_1,1.4389518,[5.375178]
3H60_A_1,0.45595708,[5.3687406]
5J34_A_1,1.1613342,[5.36743]
3E6U_A_1,0.7087006,[5.3672156]
4BWS_C_1,1.5855671,[5.3762712]
1SYX_B_1,1.601894,[5.376719]
1GYF_A_1,0.7771428,[5.375864]
3EES_A_1,1.3989031,[5.3735733]
7DE0_A_1,0.72895926,[5.370434]
6OXJ_A_1,4.353174,[5.370673]
3P16_A_1,2.8472834,[5.36787]
4TR7_A_1,6.30339,[5.368397]
3RB9_A_1,2.04006,[5.36797]
