apo_name,true_label,predicted_label
2OUV_A_1,2.9193704,[2.5326385]
1O73_A_1,1.398155,[2.1846418]
6NTP_A_1,3.0213943,[2.6117213]
4BJO_A_1,2.7497056,[2.4832678]
2F6F_A_1,2.8117564,[2.5232325]
4QBE_A_1,2.8103044,[2.5815]
5KA4_A_1,2.6858015,[2.5252604]
6CWV_A_1,2.825129,[2.4888146]
6CWU_A_1,2.8164973,[2.6724958]
7KEN_A_1,2.795519,[2.4919233]
7L0C_A_1,2.790951,[2.5726335]
3A5K_A_1,2.7868552,[2.6320174]
3ZV2_A_1,2.872692,[2.526716]
4CKZ_A_1,1.836802,[1.8809359]
1CAN_A_1,2.0347733,[2.2519162]
3MNJ_A_1,2.0339453,[2.3764024]
1ZSA_A_1,1.8657283,[2.2331378]
1CAK_A_1,1.8157632,[2.2758017]
12CA_A_1,2.0384068,[2.1823888]
1CA3_A_1,2.0250504,[2.2342927]
1UGD_A_1,2.0362685,[2.1458201]
1CAJ_A_1,1.8157632,[2.0966682]
1HED_A_1,1.8012611,[2.31043]
1CNH_A_1,2.0565264,[2.2197664]
1UGF_A_1,2.034659,[2.2501886]
2NXR_A_1,2.0350192,[2.296391]
1HEA_A_1,1.811746,[2.2468092]
1CCT_A_1,1.8290068,[2.236826]
3DVD_A_1,2.2691605,[2.3130934]
1CAL_A_1,1.8210615,[2.3082752]
9CA2_A_1,1.7443655,[2.09113]
3MNK_A_1,2.0353463,[2.2969642]
1CAI_A_1,1.8157632,[2.2147987]
1TH9_A_1,2.0429094,[2.2912953]
1HEB_A_1,1.8117785,[2.176899]
3DVC_A_1,2.2691102,[2.286068]
1G3Z_A_1,2.0143158,[2.1899526]
3RG4_A_1,2.0473235,[2.24483]
1TG3_A_1,2.2712536,[2.3173862]
1CNI_A_1,2.0644886,[2.2215185]
1CNG_A_1,1.8546474,[2.1945596]
1H9N_A_1,1.8902144,[2.2720447]
1BIC_A_1,1.8416588,[2.208869]
1UGE_A_1,2.0268874,[2.3106747]
1CCU_A_1,1.8290068,[2.1780987]
4QK1_A_1,2.0288048,[2.1713393]
4YGJ_A_1,2.030401,[2.2927818]
3DV7_A_1,2.2695959,[2.2298837]
1CCS_A_1,1.828545,[2.1813056]
7CA2_A_1,1.7437558,[2.1477604]
1CVF_A_1,2.1237435,[2.2019858]
1HEC_A_1,1.8123773,[2.3766859]
3DVB_A_1,2.2690954,[2.2933803]
1CVE_A_1,1.8924581,[2.2539277]
8CA2_A_1,1.7501773,[2.258709]
1UGC_A_1,2.026568,[2.2612648]
1UGA_A_1,2.0298219,[2.2428799]
2NWO_A_1,2.271621,[2.2222972]
3RG3_A_1,2.0526206,[2.1911716]
2NWY_A_1,2.0360398,[2.2066875]
1CNB_A_1,2.132437,[2.121572]
1HVA_A_1,2.1273205,[2.1808324]
2FNK_A_1,2.2658327,[2.2874331]
1FQL_A_1,2.0357466,[2.2401958]
1YO0_A_1,2.064474,[2.2036085]
1LG5_A_1,1.8358642,[2.2625792]
3M1Q_A_1,2.2839398,[2.1969733]
1CVD_A_1,1.8902144,[2.21681]
1CVH_A_1,1.8657529,[2.2292595]
4MD7_E_1,1.9317924,[2.2758918]
4MD8_E_1,1.9320767,[1.9509631]
2R7I_A_1,1.9490082,[1.9333675]
5ZN5_A_1,2.0110922,[2.1791265]
4MD9_E_1,1.8853023,[2.1059325]
4DGL_C_1,2.0491548,[1.8662928]
5ZN4_A_1,2.0136583,[2.4009216]
5ZN3_A_1,2.0083184,[2.3860207]
5ZN2_A_1,2.000872,[2.2431574]
2PV3_A_1,1.1746634,[2.149152]
5GKY_B_1,1.6221958,[2.4132023]
2PPP_A_1,1.5080762,[2.5038447]
2PPO_A_1,1.5207789,[2.3400106]
1EYM_A_1,1.6126977,[2.443149]
7E73_A_1,1.9350444,[1.8035773]
3ZU7_A_1,2.447775,[2.3294072]
6OT6_A_1,2.450414,[2.137729]
6OTS_A_1,2.3884292,[1.9619819]
3R63_A_1,2.4560866,[1.892131]
2FYS_A_1,2.4480186,[2.243675]
4S2Z_A_1,2.4569268,[1.9953073]
4S30_A_1,2.4538639,[1.7948583]
6D5Y_A_1,1.905369,[2.1076822]
7E75_A_1,1.8900496,[2.1288724]
6RFP_A_1,1.3720173,[2.174917]
2E7O_A_1,2.02403,[2.1791377]
1OS2_A_1,1.7239004,[2.0430357]
2K9C_A_1,1.9104997,[1.8033204]
1AWQ_A_1,2.8394828,[2.4962885]
1OD0_A_1,1.4018122,[2.0479465]
6R6H_V_1,1.7391006,[1.8416268]
4JX3_A_1,1.5483232,[1.7783998]
2CGH_A_1,1.3422658,[1.5179938]
1CRM_A_1,2.0493526,[1.9446806]
3SK1_A_1,0.8695541,[1.5325851]
7YER_B_1,2.4738793,[2.3938384]
3FKE_A_1,2.4433548,[1.9603213]
5BPV_A_1,2.4137604,[2.426837]
5MXE_A_1,0.62022185,[1.0787965]
5UFB_A_1,0.85561514,[0.9544694]
5J80_A_1,1.8303905,[1.5270523]
8B7I_A_1,1.6628146,[2.286212]
6GP4_A_1,1.651205,[1.6017082]
2K5B_A_1,1.7266858,[2.1345968]
7CML_A_1,1.7370117,[1.8351249]
5UQ1_A_1,2.376055,[2.0736527]
