apo_name,apo_chain,holo_name,holo_chain,pocket_id,pocket_rmsd,pocket_com,protein_id,ligand,ligand_atom_count,apo_pocket_missing_percentage,holo_loop_per
2OUV,A,5c28,A,1,2.048247814178467,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4XV,12,0.0,20.60931899641577
2OUV,A,5c2h,B,1,2.606490135192871,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4XU,31,0.0,19.157894736842103
2OUV,A,5c2a,A,1,5.04518985748291,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4Y2,20,0.0,23.03664921465969
2OUV,A,5dh5,A,1,2.555434465408325,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5AY,28,0.0,20.36613272311213
2OUV,A,5dh4,A,1,4.845139980316162,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4PX,26,0.0,24.9667994687915
2OUV,A,4lm4,A,1,0.23338967561721802,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,JPZ,11,0.0,17.943548387096776
2OUV,A,4lm3,A,1,0.5211084485054016,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,9ZE,13,0.0,15.304347826086955
2OUV,A,4mrz,A,1,0.29983577132225037,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZV,11,0.0,18.20128479657388
2OUV,A,4lm2,A,1,0.22969071567058563,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,8ZE,12,0.0,18.25242718446602
2OUV,A,4msc,A,1,0.4215162694454193,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZT,22,0.0,20.42682926829268
2OUV,A,3uuo,A,1,0.569570004940033,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,0CV,44,0.0,21.33676092544988
2OUV,A,5c1w,A,1,2.056973695755005,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4XS,12,0.0,19.27272727272728
2OUV,A,4mrw,A,1,0.3651942312717438,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,MRW,12,0.0,16.091954022988507
2OUV,A,4lm0,A,1,0.22983808815479279,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5NI,12,0.0,21.37809187279152
2OUV,A,4lkq,A,1,0.32965362071990967,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,1XM,11,0.0,17.04781704781705
2OUV,A,4lm1,A,1,0.2660810947418213,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,7ZE,13,0.0,18.29521829521829
2OUV,A,3ui7,A,1,0.6968204379081726,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,C1L,24,0.0,24.49494949494949
2OUV,A,4msn,A,1,0.3117096424102783,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZQ,13,0.0,20.13888888888889
2OUV,A,4llp,A,1,0.2627606987953186,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4ZE,9,0.0,21.994884910485936
2OUV,A,4hf4,A,1,2.232774019241333,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,15H,32,0.0,19.181034482758623
2OUV,A,4llk,A,1,0.2522892951965332,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,MEW,12,0.0,19.35483870967742
2OUV,A,4llx,A,1,0.24914467334747314,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5ZE,9,0.0,22.05513784461153
2OUV,A,4msa,A,1,0.23405314981937408,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZM,12,0.0,17.115384615384617
2OUV,A,4llj,A,1,0.3314475119113922,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,1XN,11,0.0,20.13888888888889
