apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[1.2192684]
1O73_A_1,1.9548372,[1.3104095]
6NTP_A_1,9.128823,[1.2829916]
3SME_A_1,8.262643,[1.286781]
4BJO_A_1,7.5608807,[1.2797487]
2F6F_A_1,7.9059744,[1.272054]
4QBE_A_1,7.8978105,[1.2758588]
5KA4_A_1,7.213529,[1.2835077]
6CWV_A_1,7.981354,[1.2998142]
6CWU_A_1,7.9326577,[1.2851708]
1I57_A_1,7.9206886,[1.2822412]
7KEN_A_1,7.8149276,[1.2798254]
7L0C_A_1,7.7894077,[1.2749468]
3A5K_A_1,7.7665625,[1.282611]
3ZV2_A_1,8.25236,[1.2848395]
1H05_A_1,3.2727282,[1.3645157]
4CKZ_A_1,3.3738415,[1.3906089]
1CAN_A_1,4.140302,[1.3282025]
5ZXW_A_1,4.205081,[1.3388724]
3MNJ_A_1,4.1369333,[1.3313679]
5CA2_A_1,3.3917072,[1.3323765]
1ZSA_A_1,3.4809418,[1.3285059]
1CAK_A_1,3.296996,[1.3280445]
12CA_A_1,4.1551027,[1.3340889]
1CA3_A_1,4.1008286,[1.3313135]
1UGD_A_1,4.1463895,[1.3296449]
1CAJ_A_1,3.296996,[1.3278062]
1HED_A_1,3.2445416,[1.3333619]
1CNH_A_1,4.2293005,[1.3306916]
1UGF_A_1,4.139837,[1.3292845]
2NXR_A_1,4.141303,[1.33073]
1HEA_A_1,3.2824237,[1.3321443]
1CCT_A_1,3.3452659,[1.3327252]
1UGB_A_1,4.1469254,[1.3277577]
1CVA_A_1,3.3452659,[1.3323514]
1LZV_A_1,4.1218195,[1.3313221]
3DVD_A_1,5.14909,[1.3295093]
6CA2_A_1,3.0536087,[1.3308619]
1CAL_A_1,3.3162649,[1.3300171]
9CA2_A_1,3.042811,[1.3301142]
3MNK_A_1,4.142635,[1.3313495]
1CAI_A_1,3.296996,[1.3278717]
1TH9_A_1,4.173479,[1.3294712]
1HEB_A_1,3.2825415,[1.3326846]
3DVC_A_1,5.148861,[1.330192]
1DCA_A_1,3.3427968,[1.3333945]
1G3Z_A_1,4.057468,[1.3313875]
3RG4_A_1,4.1915336,[1.3353256]
1TG3_A_1,5.1585927,[1.3307582]
1H9Q_A_1,3.5762584,[1.3316736]
1CNI_A_1,4.2621136,[1.3292464]
1CNG_A_1,3.4397168,[1.3287693]
1H9N_A_1,3.5729108,[1.3301779]
1BIC_A_1,3.3917072,[1.3290346]
1UGE_A_1,4.108273,[1.3317299]
1CCU_A_1,3.3452659,[1.3317871]
4QK1_A_1,4.116049,[1.3337388]
4YGJ_A_1,4.122528,[1.3328998]
3DV7_A_1,5.151066,[1.3306638]
1CCS_A_1,3.3435767,[1.3327949]
7CA2_A_1,3.0406842,[1.3308735]
1CVF_A_1,4.510287,[1.3325491]
1HEC_A_1,3.2847116,[1.3304442]
1CVC_A_1,4.508988,[1.3294289]
3DVB_A_1,5.148794,[1.3300376]
1CVE_A_1,3.5813978,[1.3318492]
8CA2_A_1,3.0631206,[1.3305821]
1UGC_A_1,4.106978,[1.3293089]
1UGA_A_1,4.120177,[1.3294086]
2NWO_A_1,5.160262,[1.3315126]
3RG3_A_1,4.2132516,[1.336054]
2NWY_A_1,4.145458,[1.3301352]
1CNB_A_1,4.547288,[1.3307054]
1HVA_A_1,4.5254927,[1.3332845]
1MUA_A_1,4.142195,[1.3320928]
2FNK_A_1,5.1339974,[1.329886]
1FQL_A_1,4.1442637,[1.3298908]
1YO0_A_1,4.262053,[1.3359355]
1LG5_A_1,3.3703973,[1.336849]
3M1Q_A_1,5.2163815,[1.3297895]
1CVD_A_1,3.5729108,[1.3308958]
1CVH_A_1,3.4810338,[1.3303097]
3QPL_A_1,1.7914771,[1.2851099]
6BN8_C_1,2.753169,[1.321039]
2PV3_A_1,1.3798342,[1.1499082]
2PV1_A_1,1.1994487,[1.3776497]
1M5Y_A_1,4.064401,[1.1362349]
5GKY_B_1,2.6315193,[1.3754317]
2PPP_A_1,2.2742937,[1.3890338]
2PPO_A_1,2.3127685,[1.3741868]
