apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[2.0923777]
4MD8_E_1,3.7329202,[2.1175702]
2R7I_A_1,3.7986329,[2.1578698]
5ZN5_A_1,4.044492,[2.1206615]
4MD9_E_1,3.554365,[2.1355355]
4DGL_C_1,4.1990356,[2.216257]
1NA7_A_1,4.128056,[2.0704703]
5ZN0_A_1,4.013639,[2.1014566]
5ZN4_A_1,4.05482,[2.0915244]
5ZN3_A_1,4.0333433,[2.1037846]
5ZN2_A_1,4.0034885,[2.1141183]
1C5M_D_1,6.500857,[2.1323874]
1HCG_A_1,4.1621423,[2.0456724]
4I70_A_1,1.0008225,[2.4510689]
2X0G_A_1,2.9365442,[2.4501011]
6FHA_A_1,2.8593965,[2.34139]
2XZS_A_1,2.9587965,[2.4693506]
2Y4P_A_1,2.8034377,[2.4536843]
1WVW_A_1,2.820965,[2.3965366]
4UC6_A_1,1.69529,[2.3014376]
2YHM_A_1,1.5523096,[2.625307]
2WJ8_A_1,1.5059754,[2.6039083]
4UC7_A_1,1.1602758,[2.467952]
5BWY_A_1,7.2368517,[2.2285857]
3F9Q_A_1,2.784664,[2.2101834]
4ZKF_A_1,1.3120357,[2.439976]
2OS5_A_1,0.73040825,[2.395721]
3G2G_A_1,2.526961,[2.5914924]
6FV3_A_1,0.70758176,[2.4160173]
3TD3_A_1,0.43696254,[2.4853275]
2I8N_A_1,4.076313,[2.9050405]
7KJB_A_1,2.2556543,[2.636273]
4P2K_A_1,2.5796943,[2.4459438]
5EK7_A_1,2.048345,[2.3613744]
1WM9_A_1,0.28988057,[2.478264]
4GUL_A_1,1.370619,[2.0317726]
4HLT_A_1,1.5182205,[2.0198848]
2ARA_A_1,0.81850064,[1.9347949]
6DYM_A_1,0.7500317,[2.0186028]
1GOW_A_1,1.4607446,[2.1255293]
1T0V_A_1,2.3611553,[2.1543534]
3DTQ_A_1,0.8104154,[2.1198652]
1QQJ_A_1,1.0289809,[2.298787]
1B7X_B_1,9.014055,[1.9113357]
1DM4_B_1,7.4325852,[1.9566224]
4H6S_B_1,7.458127,[1.9452829]
4H6T_A_1,8.268205,[2.096338]
1AK5_A_1,1.4761107,[2.2753146]
5HFQ_A_1,0.8597294,[2.5855918]
2G4A_A_1,4.09692,[2.4794729]
2OGQ_A_1,1.4784664,[2.2896922]
1Q4O_A_1,1.8699642,[2.2601573]
3PJW_A_1,1.3188869,[2.4569657]
1NGL_A_1,4.6178026,[2.1427608]
4LC2_A_1,1.3464109,[2.146322]
2Y90_A_1,6.064744,[2.125336]
3QHS_A_1,6.098432,[1.8601148]
1HK9_A_1,6.0914383,[2.024669]
4RCB_A_1,6.0135117,[1.8210869]
6BDG_A_1,6.031841,[1.9870603]
5EF9_A_1,1.3748943,[2.1024551]
3ALS_A_1,0.49918923,[2.2147949]
2GEB_A_1,1.1567773,[2.2241187]
5DEM_A_1,7.136721,[2.0295572]
3TDU_A_1,1.2529916,[2.3646946]
4G6C_A_1,1.4678649,[2.4449105]
1PK6_A_1,0.29960898,[1.8759913]
6EDB_A_1,3.3574235,[2.514102]
4O68_A_1,2.8145108,[2.4327338]
4MKP_A_1,2.9295137,[2.5155814]
7C0M_K_1,2.704813,[2.479739]
4KM5_A_1,2.7854733,[2.4443684]
6Y5D_K_1,2.1737041,[2.3414652]
6CT9_A_1,0.89990115,[2.40792]
6EDC_A_1,0.8864968,[2.4522734]
2JU3_A_1,3.536448,[1.8931963]
1LXA_A_1,9.348201,[2.1257436]
3CIV_A_1,1.4328883,[2.3786144]
2APR_A_1,1.3288075,[2.170823]
1UH7_A_1,1.2992465,[2.1358192]
2V5Q_A_1,1.4381927,[2.1851492]
3KD2_A_1,1.5789716,[2.491359]
4DMC_A_1,1.6854838,[2.3156755]
4DM7_A_1,1.6183263,[2.4226289]
3PI6_A_1,1.6332983,[2.3453994]
4DLN_A_1,1.734278,[2.3310812]
3KDA_A_1,1.7212871,[2.3538344]
4DMF_A_1,1.9212155,[2.5179396]
2W7S_A_1,1.1373402,[1.9437194]
3VA1_A_1,0.9060636,[1.7052407]
1H3I_A_1,4.8903623,[2.5891197]
1MJ5_A_1,0.4063992,[2.389072]
1IZ7_A_1,0.40954405,[2.3177536]
1CV2_A_1,0.43767342,[2.2576292]
4WDQ_A_1,1.1622148,[2.410858]
3NWU_A_1,3.5241976,[2.2056525]
7SJO_A_1,3.541916,[2.2860408]
6Z0E_A_1,3.4423497,[2.169843]
7SJN_A_1,3.77304,[2.2314699]
3TJN_A_1,3.5442271,[2.1288333]
7O0J_A_1,3.5987575,[2.4196732]
1MVG_A_1,2.4946303,[2.3040185]
2BMY_A_1,1.087114,[1.9823339]
6DO6_A_1,1.8634341,[2.0274944]
2F73_A_1,1.726234,[2.0360537]
2PY1_A_1,3.3159764,[2.0806086]
2L67_A_1,1.8454595,[1.9010103]
3HMH_A_1,1.8098115,[2.2290974]
3UMZ_A_1,0.6729376,[2.1181371]
3UN0_A_1,0.81308746,[2.0306535]
2WFE_A_1,1.037166,[2.108247]
2OVP_B_1,0.7954653,[2.3743556]
4PGG_A_1,0.6355336,[2.84849]
3Q1Q_A_1,0.74683267,[1.7181554]
5IA7_A_1,0.67637175,[2.3256361]
5IA8_A_1,0.5819271,[2.766077]
7W3N_A_1,1.0529157,[2.6363611]
3OBQ_A_1,0.78903395,[2.2160509]
3EW1_A_1,0.6987774,[2.3159044]
3FEQ_A_1,0.36096638,[2.2591596]
4D8B_A_1,0.8719216,[1.9114909]
1CRW_G_1,0.58331436,[2.5227125]
6AJD_A_1,0.4045916,[2.285101]
2PNS_A_1,0.7312482,[1.9488952]
5T3T_A_1,0.85373574,[3.0638995]
3ZPE_A_1,0.32012194,[1.9722664]
4G8K_A_1,1.4028165,[2.4400983]
2GT1_A_1,0.4827125,[2.6091077]
4J1V_A_1,6.052122,[2.5582232]
1PI1_A_1,1.1768988,[2.5491834]
5TWF_A_1,5.9037414,[2.4133623]
4Z88_A_1,0.65284157,[1.664254]
2M0T_A_1,1.4191357,[2.240579]
7PK5_A_1,1.168962,[2.1403947]
8HGQ_A_1,1.2625777,[1.8748584]
3VYN_A_1,2.123213,[2.4000943]
5DU7_A_1,2.144146,[2.5638547]
3TX4_A_1,1.8375757,[2.1353183]
7A11_A_1,2.081546,[2.0291908]
6Z6Z_A_1,2.193616,[1.960675]
2E45_A_1,1.3531673,[2.5430682]
6P7P_A_1,0.6826601,[2.4732618]
4PK9_A_1,0.62139803,[2.6901472]
3KQG_A_1,0.5699539,[2.1382425]
3P7F_A_1,0.2512219,[2.121979]
3C22_A_1,0.61653614,[1.8234937]
7WZ8_A_1,0.9392014,[2.2450633]
1X9E_A_1,1.1596884,[2.489661]
3ZFY_A_1,0.80151165,[2.2040746]
1NZO_A_1,1.434341,[2.4460216]
1HD8_A_1,1.6624638,[2.4017537]
5C7J_A_1,1.0809916,[2.538595]
2KRG_A_1,1.5427235,[3.5211751]
2KJD_A_1,2.4940813,[2.2268164]
6RQR_A_1,1.859682,[2.1991103]
2DFI_A_1,0.4736145,[2.207152]
1VHI_A_1,1.2843506,[2.3700256]
1B3T_A_1,0.99820226,[2.2880085]
5WMF_A_1,1.1441543,[2.1883535]
1MH6_A_1,1.4389518,[2.5167823]
3H60_A_1,0.45595708,[2.1369572]
5J34_A_1,1.1613342,[2.4821966]
3E6U_A_1,0.7087006,[2.2959702]
4BWS_C_1,1.5855671,[1.6873829]
1SYX_B_1,1.601894,[1.3724182]
1GYF_A_1,0.7771428,[1.3366129]
3EES_A_1,1.3989031,[1.9607682]
7DE0_A_1,0.72895926,[2.289954]
6OXJ_A_1,4.353174,[2.2876446]
3P16_A_1,2.8472834,[2.843325]
4TR7_A_1,6.30339,[2.7869797]
3RB9_A_1,2.04006,[2.6328988]
2D4U_A_1,1.2662371,[2.6247869]
2HDV_A_1,1.148598,[1.9151134]
3MQP_A_1,0.9300933,[1.8415952]
2VM6_A_1,0.76853806,[2.017743]
5UUK_A_1,1.0839517,[1.8614509]
2YRO_A_1,1.1753367,[2.2198665]
2EQB_A_1,5.621838,[2.1688]
3URY_A_1,1.350721,[1.9910972]
2W46_A_1,0.4925698,[2.0668628]
3KV9_A_1,0.7181414,[2.316672]
1WHV_A_1,1.234038,[2.691877]
4LZ6_A_1,0.6883965,[2.646443]
5C6N_A_1,0.7879317,[2.6745954]
2PEK_A_1,0.9730953,[2.4744728]
3D5V_A_1,0.884969,[2.4811738]
3D5U_A_1,0.8649931,[2.3970857]
1KS9_A_1,1.3870682,[2.4160118]
6E8H_A_1,1.1220676,[2.314402]
2K1Z_A_1,2.0571737,[1.9300647]
6JUE_L_1,1.4755123,[2.2357988]
1KMZ_A_1,0.7180862,[2.3523083]
3FNS_A_1,1.2883344,[2.4216032]
5HFR_A_1,0.5567769,[2.7232683]
2E7N_A_1,3.821232,[2.6384766]
5GS8_A_1,0.71154916,[2.0825887]
3UTK_A_1,0.8708626,[2.1308303]
4LHX_A_1,0.54088444,[2.3460102]
2FU5_C_1,4.7293997,[2.5360117]
3QRV_A_1,1.7791926,[2.1609805]
3RT2_A_1,2.2734385,[2.3614426]
3RT0_C_1,1.0986636,[2.1650457]
1PKL_A_1,1.0911547,[2.4616718]
6HQ2_A_1,1.1803838,[2.4110806]
4FH8_A_1,0.8134006,[2.1420033]
6GFL_A_1,1.1165062,[2.4290948]
