apo_name,true_label,predicted_label,diff
2BMY_A_1,1.087114,7.351497,6.2643830000000005
5IOL_A_1,0.7639643,6.382538,5.618573700000001
6VIE_A_1,1.067603,6.469435,5.401832
1MH6_A_1,1.4389518,6.4788527,5.0399009
7Q4Y_A_1,1.4912248,6.469037,4.977812200000001
7WA8_A_1,1.2577031,6.1681685,4.9104654
1S5T_A_1,0.7736442,5.561974,4.7883298000000005
3PXD_A_1,1.1167507,5.896216,4.7794653
3DTQ_A_1,0.8104154,5.5818644,4.771449
3BRH_A_1,1.1080418,5.8688765,4.7608347
3HS8_A_1,1.1009301,5.757781,4.656850899999999
1S5W_A_1,0.82166535,5.4528823,4.63121695
5BW5_A_1,0.71960604,5.3271213,4.60751526
3POM_A_1,1.0695491,5.643978,4.5744289
1T3A_A_1,0.18944585,4.6487017,4.45925585
1DPT_A_1,0.91785747,5.3768325,4.4589750299999995
2FP8_A_1,0.5494061,4.976336,4.4269299
1S5V_A_1,0.9778705,5.3423333,4.3644628
4JE6_A_1,1.2449158,5.529984,4.2850681999999995
3MQP_A_1,0.9300933,5.214593,4.2844997
1A3Y_A_1,0.82960457,5.1060786,4.27647403
1GIG_L_1,1.3420745,5.6124797,4.2704052
1DF3_A_1,1.1044598,5.3404613,4.2360015
7XAT_C_1,1.1916142,5.3908944,4.1992802
4OAF_A_1,0.8311352,5.024076,4.1929408
4PGG_A_1,0.6355336,4.824682,4.1891484000000005
3FFQ_A_1,1.1845907,5.32404,4.1394493
4EMU_A_1,1.109176,5.223009,4.1138330000000005
1C69_A_1,0.4201695,4.516417,4.0962475
2GYY_A_1,1.4225924,5.5091133,4.0865209
1NTE_A_1,1.1457509,5.1894207,4.0436698
2RQT_A_1,1.346016,5.3167872,3.9707712
2OEW_A_1,1.0361938,4.956316,3.9201222000000002
3GFJ_A_1,0.37490138,4.267287,3.8923856199999998
6PTD_A_1,0.89801383,4.7276826,3.8296687699999996
3PBE_A_1,0.67577475,4.4833703,3.80759555
7KLZ_A_1,1.1187242,4.9020853,3.7833611000000005
7W3N_A_1,1.0529157,4.7884936,3.7355779
4DG4_A_1,1.3502296,5.0699377,3.7197080999999996
5M8K_A_1,0.4515817,4.165787,3.7142052999999997
1R6K_A_1,1.2710975,4.926407,3.6553095000000004
5UUK_A_1,1.0839517,4.727658,3.6437063
1Z1L_A_1,0.9148023,4.504373,3.5895707000000003
3PFK_A_1,1.128996,4.670288,3.5412920000000003
2DFI_A_1,0.4736145,4.0102444,3.5366299000000003
5CRU_A_1,1.1581514,4.686928,3.5287766
2YRO_A_1,1.1753367,4.691748,3.5164112999999997
1I51_A_1,1.3637117,4.8435616,3.4798499
3LRB_A_1,1.4614922,4.918912,3.4574198
2MCN_A_1,1.3303463,4.7688327,3.4384864
2Y06_L_1,1.336162,4.7320848,3.3959228
1YTS_A_1,0.72545344,4.0994473,3.3739938599999997
2DH4_A_1,1.365338,4.721063,3.355725
3G77_A_1,0.65488464,3.9722147,3.3173300599999997
5ZGF_A_1,1.4156836,4.7030287,3.2873451
3UEI_A_1,0.74217415,4.000727,3.2585528500000005
4YG7_D_1,1.4319233,4.599707,3.1677837
3FJU_A_1,0.40763164,3.573007,3.16537536
3TPD_A_1,1.4241267,4.5361557,3.112029
1FO9_A_1,0.57316905,3.6622114,3.0890423499999997
4JJQ_A_1,0.9402762,3.980883,3.0406068
3QHE_A_1,0.97472274,4.01421,3.0394872600000005
2GT1_A_1,0.4827125,3.5162377,3.0335252
2M0T_A_1,1.4191357,4.4204865,3.0013508
1WE4_A_1,0.89831,3.8989131,3.0006031
5XFN_A_1,1.0295568,4.0229845,2.9934277
6IHL_A_1,0.6397682,3.6273983,2.9876300999999996
1ROC_A_1,1.2861893,4.231831,2.9456416999999995
5UEA_D_1,0.97168934,3.8958807,2.92419136
1EH2_A_1,0.77840084,3.689398,2.91099716
3LOI_A_1,0.49968353,3.3774247,2.87774117
2HQE_A_1,1.1823156,4.0125685,2.8302529000000005
1E31_A_1,0.97338414,3.7723718,2.7989876600000003
4MCM_A_1,1.315649,4.0544457,2.7387966999999995
1IA8_A_1,1.4448091,4.1824536,2.7376444999999996
6FV3_A_1,0.70758176,3.4342277,2.72664594
3NIT_A_1,0.8458316,3.5074558,2.6616242
1CWT_A_1,0.92565477,3.538009,2.61235423
4QUY_K_1,0.25629437,2.849258,2.59296363
5EPP_A_1,0.97838026,3.3388724,2.36049214
5CZA_K_1,0.3109356,2.6639152,2.3529796
5JDB_A_1,0.43130958,2.7656698,2.3343602199999998
6ICD_A_1,0.59833944,2.931442,2.3331025600000004
2FGN_A_1,0.43443137,2.7191763,2.28474493
5DAZ_A_1,0.6349281,2.8621376,2.2272095
1P5X_A_1,0.19479454,2.3369238,2.14212926
1XYA_A_1,1.0308547,3.1016078,2.0707531
6VPA_A_1,0.7441601,2.7875109,2.0433508
6VUV_A_1,0.7676887,2.7893505,2.0216618
3BT8_A_1,0.72700995,2.7345533,2.0075433499999997
2VWF_A_1,1.2053455,3.1734056,1.9680601000000002
2JDX_A_1,1.350281,3.053173,1.702892
2O9P_A_1,1.4360762,3.0317597,1.5956834999999998
1UXL_A_1,1.3930111,2.9725723,1.5795611999999999
1B7P_A_1,0.88361186,2.388085,1.5044731399999998
2MEG_A_1,0.78097206,2.269646,1.48867394
3RWC_A_1,1.237911,2.6559134,1.4180024000000002
