apo_name,true_label,predicted_label
2OUV_A_1,2.9193704,[2.6286085]
1O73_A_1,1.398155,[1.8760793]
6NTP_A_1,3.0213943,[2.5171175]
4BJO_A_1,2.7497056,[2.419021]
2F6F_A_1,2.8117564,[2.488968]
4QBE_A_1,2.8103044,[2.3793557]
5KA4_A_1,2.6858015,[2.3026857]
6CWV_A_1,2.825129,[2.212707]
6CWU_A_1,2.8164973,[2.4786336]
7KEN_A_1,2.795519,[2.1420698]
7L0C_A_1,2.790951,[2.4585583]
3A5K_A_1,2.7868552,[2.4316394]
3ZV2_A_1,2.872692,[2.3724258]
4CKZ_A_1,1.836802,[1.7972726]
1CAN_A_1,2.0347733,[2.1647298]
3MNJ_A_1,2.0339453,[2.3155935]
1ZSA_A_1,1.8657283,[2.465618]
1CAK_A_1,1.8157632,[1.9959533]
12CA_A_1,2.0384068,[2.2750185]
1CA3_A_1,2.0250504,[2.2669594]
1UGD_A_1,2.0362685,[2.1788578]
1CAJ_A_1,1.8157632,[2.0504756]
1HED_A_1,1.8012611,[2.2850573]
1CNH_A_1,2.0565264,[2.3138444]
1UGF_A_1,2.034659,[2.2169633]
2NXR_A_1,2.0350192,[2.2092974]
1HEA_A_1,1.811746,[2.1753974]
1CCT_A_1,1.8290068,[2.204025]
3DVD_A_1,2.2691605,[2.2256243]
1CAL_A_1,1.8210615,[2.1567798]
9CA2_A_1,1.7443655,[2.1747193]
3MNK_A_1,2.0353463,[2.195481]
1CAI_A_1,1.8157632,[2.2128212]
1TH9_A_1,2.0429094,[2.0155344]
1HEB_A_1,1.8117785,[2.199219]
3DVC_A_1,2.2691102,[2.1605303]
1G3Z_A_1,2.0143158,[2.2509098]
3RG4_A_1,2.0473235,[2.2808182]
1TG3_A_1,2.2712536,[2.2845938]
1CNI_A_1,2.0644886,[2.5534399]
1CNG_A_1,1.8546474,[2.2508323]
1H9N_A_1,1.8902144,[1.9796537]
1BIC_A_1,1.8416588,[2.160437]
1UGE_A_1,2.0268874,[2.3566802]
