apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[2.8306327]
4MD8_E_1,3.7329202,[2.624671]
2R7I_A_1,3.7986329,[2.501676]
5ZN5_A_1,4.044492,[2.4479504]
4MD9_E_1,3.554365,[2.706686]
4DGL_C_1,4.1990356,[2.6622977]
1NA7_A_1,4.128056,[2.7423072]
5ZN0_A_1,4.013639,[2.660894]
5ZN4_A_1,4.05482,[2.6589947]
5ZN3_A_1,4.0333433,[2.6338305]
5ZN2_A_1,4.0034885,[2.6171641]
1C5M_D_1,6.500857,[2.494965]
1HCG_A_1,4.1621423,[2.3142962]
4I70_A_1,1.0008225,[2.6778688]
2X0G_A_1,2.9365442,[3.1877956]
6FHA_A_1,2.8593965,[3.2286463]
2XZS_A_1,2.9587965,[3.1466494]
2Y4P_A_1,2.8034377,[3.2295942]
1WVW_A_1,2.820965,[3.41152]
4UC6_A_1,1.69529,[3.010903]
2YHM_A_1,1.5523096,[3.2542644]
2WJ8_A_1,1.5059754,[3.192339]
4UC7_A_1,1.1602758,[3.1921525]
5BWY_A_1,7.2368517,[3.0515475]
3F9Q_A_1,2.784664,[2.8479576]
4ZKF_A_1,1.3120357,[2.6904535]
2OS5_A_1,0.73040825,[2.6682682]
3G2G_A_1,2.526961,[2.957491]
6FV3_A_1,0.70758176,[2.7867908]
3TD3_A_1,0.43696254,[2.822618]
2I8N_A_1,4.076313,[3.4723992]
7KJB_A_1,2.2556543,[2.7936468]
4P2K_A_1,2.5796943,[2.8447175]
5EK7_A_1,2.048345,[2.7047586]
1WM9_A_1,0.28988057,[2.8623948]
4GUL_A_1,1.370619,[2.5980968]
4HLT_A_1,1.5182205,[2.5187898]
2ARA_A_1,0.81850064,[2.3037138]
6DYM_A_1,0.7500317,[2.615345]
1GOW_A_1,1.4607446,[2.38231]
1T0V_A_1,2.3611553,[2.9383893]
3DTQ_A_1,0.8104154,[3.0372176]
1QQJ_A_1,1.0289809,[2.6540585]
1B7X_B_1,9.014055,[2.5157676]
