apo_name,true_label,predicted_label
4MD7_E_1,3.731822,[1.3304484]
4MD8_E_1,3.7329202,[1.2257836]
2R7I_A_1,3.7986329,[1.2672837]
5ZN5_A_1,4.044492,[1.1318886]
4MD9_E_1,3.554365,[1.3131235]
4DGL_C_1,4.1990356,[1.4162452]
1NA7_A_1,4.128056,[1.3460605]
5ZN0_A_1,4.013639,[1.2044632]
5ZN4_A_1,4.05482,[1.2135074]
5ZN3_A_1,4.0333433,[1.2317092]
5ZN2_A_1,4.0034885,[1.2028229]
1C5M_D_1,6.500857,[2.0028675]
1HCG_A_1,4.1621423,[1.4808071]
4I70_A_1,1.0008225,[2.1145227]
2X0G_A_1,2.9365442,[2.1076076]
6FHA_A_1,2.8593965,[1.8684957]
2XZS_A_1,2.9587965,[1.979008]
2Y4P_A_1,2.8034377,[1.7659879]
1WVW_A_1,2.820965,[2.1610932]
4UC6_A_1,1.69529,[1.9266279]
2YHM_A_1,1.5523096,[2.766026]
2WJ8_A_1,1.5059754,[2.70064]
4UC7_A_1,1.1602758,[2.1633604]
5BWY_A_1,7.2368517,[2.216901]
3F9Q_A_1,2.784664,[2.183789]
4ZKF_A_1,1.3120357,[2.2918622]
2OS5_A_1,0.73040825,[2.0702279]
3G2G_A_1,2.526961,[2.0922163]
6FV3_A_1,0.70758176,[1.9737823]
3TD3_A_1,0.43696254,[1.6447241]
2I8N_A_1,4.076313,[2.0774343]
7KJB_A_1,2.2556543,[3.310078]
4P2K_A_1,2.5796943,[1.9783514]
5EK7_A_1,2.048345,[1.6692455]
1WM9_A_1,0.28988057,[1.816652]
4GUL_A_1,1.370619,[2.1315093]
4HLT_A_1,1.5182205,[1.9711268]
2ARA_A_1,0.81850064,[1.8627894]
6DYM_A_1,0.7500317,[1.9907217]
1GOW_A_1,1.4607446,[1.5850515]
1T0V_A_1,2.3611553,[2.3052814]
3DTQ_A_1,0.8104154,[2.1454961]
1QQJ_A_1,1.0289809,[2.450062]
1B7X_B_1,9.014055,[1.7850606]
1DM4_B_1,7.4325852,[1.9223435]
4H6S_B_1,7.458127,[1.819876]
4H6T_A_1,8.268205,[1.7745979]
1AK5_A_1,1.4761107,[2.2038724]
5HFQ_A_1,0.8597294,[1.3477604]
2G4A_A_1,4.09692,[1.6384118]
2OGQ_A_1,1.4784664,[1.5829427]
1Q4O_A_1,1.8699642,[1.7578218]
3PJW_A_1,1.3188869,[1.9253316]
1NGL_A_1,4.6178026,[2.2495372]
4LC2_A_1,1.3464109,[1.0580511]
2Y90_A_1,6.064744,[1.7935739]
3QHS_A_1,6.098432,[1.6564329]
1HK9_A_1,6.0914383,[1.78105]
4RCB_A_1,6.0135117,[1.8929605]
6BDG_A_1,6.031841,[2.2033126]
5EF9_A_1,1.3748943,[2.2530563]
3ALS_A_1,0.49918923,[2.3276503]
2GEB_A_1,1.1567773,[1.9930093]
