apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[5.3664203]
1O73_A_1,1.9548372,[5.3708515]
6NTP_A_1,9.128823,[5.3706956]
3SME_A_1,8.262643,[5.369683]
4BJO_A_1,7.5608807,[5.3697615]
2F6F_A_1,7.9059744,[5.369816]
4QBE_A_1,7.8978105,[5.3696065]
5KA4_A_1,7.213529,[5.3703756]
6CWV_A_1,7.981354,[5.3706646]
6CWU_A_1,7.9326577,[5.3704762]
1I57_A_1,7.9206886,[5.3693933]
7KEN_A_1,7.8149276,[5.369668]
7L0C_A_1,7.7894077,[5.369473]
3A5K_A_1,7.7665625,[5.3702097]
3ZV2_A_1,8.25236,[5.3704305]
1H05_A_1,3.2727282,[5.3721285]
4CKZ_A_1,3.3738415,[5.373]
1CAN_A_1,4.140302,[5.36969]
5ZXW_A_1,4.205081,[5.369549]
3MNJ_A_1,4.1369333,[5.3700542]
5CA2_A_1,3.3917072,[5.3697863]
1ZSA_A_1,3.4809418,[5.3695507]
1CAK_A_1,3.296996,[5.3698277]
12CA_A_1,4.1551027,[5.369835]
1CA3_A_1,4.1008286,[5.3695292]
1UGD_A_1,4.1463895,[5.370047]
1CAJ_A_1,3.296996,[5.369882]
1HED_A_1,3.2445416,[5.369984]
1CNH_A_1,4.2293005,[5.3697376]
1UGF_A_1,4.139837,[5.3700004]
2NXR_A_1,4.141303,[5.3699813]
1HEA_A_1,3.2824237,[5.3700347]
1CCT_A_1,3.3452659,[5.3696856]
1UGB_A_1,4.1469254,[5.3700905]
1CVA_A_1,3.3452659,[5.36968]
1LZV_A_1,4.1218195,[5.3694544]
3DVD_A_1,5.14909,[5.369693]
6CA2_A_1,3.0536087,[5.3697453]
1CAL_A_1,3.3162649,[5.3697495]
9CA2_A_1,3.042811,[5.3695884]
3MNK_A_1,4.142635,[5.3701615]
1CAI_A_1,3.296996,[5.3698115]
1TH9_A_1,4.173479,[5.369879]
1HEB_A_1,3.2825415,[5.3699045]
3DVC_A_1,5.148861,[5.369817]
1DCA_A_1,3.3427968,[5.3698792]
1G3Z_A_1,4.057468,[5.369915]
3RG4_A_1,4.1915336,[5.369962]
1TG3_A_1,5.1585927,[5.369952]
1H9Q_A_1,3.5762584,[5.369782]
1CNI_A_1,4.2621136,[5.369985]
1CNG_A_1,3.4397168,[5.3697205]
1H9N_A_1,3.5729108,[5.3699665]
1BIC_A_1,3.3917072,[5.3699803]
1UGE_A_1,4.108273,[5.369801]
1CCU_A_1,3.3452659,[5.3697667]
4QK1_A_1,4.116049,[5.369702]
4YGJ_A_1,4.122528,[5.369417]
3DV7_A_1,5.151066,[5.3698316]
1CCS_A_1,3.3435767,[5.369845]
7CA2_A_1,3.0406842,[5.3695397]
1CVF_A_1,4.510287,[5.369815]
1HEC_A_1,3.2847116,[5.370009]
1CVC_A_1,4.508988,[5.369683]
3DVB_A_1,5.148794,[5.3698735]
1CVE_A_1,3.5813978,[5.369735]
8CA2_A_1,3.0631206,[5.369576]
1UGC_A_1,4.106978,[5.3697925]
1UGA_A_1,4.120177,[5.3697147]
2NWO_A_1,5.160262,[5.3698606]
3RG3_A_1,4.2132516,[5.3700895]
2NWY_A_1,4.145458,[5.369834]
1CNB_A_1,4.547288,[5.3696885]
1HVA_A_1,4.5254927,[5.3698354]
1MUA_A_1,4.142195,[5.3698297]
2FNK_A_1,5.1339974,[5.369369]
1FQL_A_1,4.1442637,[5.3695254]
1YO0_A_1,4.262053,[5.369924]
1LG5_A_1,3.3703973,[5.369815]
3M1Q_A_1,5.2163815,[5.36969]
1CVD_A_1,3.5729108,[5.3698006]
1CVH_A_1,3.4810338,[5.369674]
3QPL_A_1,1.7914771,[5.3723197]
6BN8_C_1,2.753169,[5.3752356]
2PV3_A_1,1.3798342,[5.369161]
2PV1_A_1,1.1994487,[5.3716516]
1M5Y_A_1,4.064401,[5.367676]
5GKY_B_1,2.6315193,[5.371003]
2PPP_A_1,2.2742937,[5.3722196]
2PPO_A_1,2.3127685,[5.371486]
1EYM_A_1,2.600794,[5.372117]
3O71_A_1,6.024683,[5.3698883]
7E73_A_1,3.744397,[5.3696947]
3ZU7_A_1,5.9916024,[5.369916]
6OT6_A_1,6.004528,[5.369699]
6OTS_A_1,5.7045937,[5.370105]
3R63_A_1,6.032362,[5.369715]
2FYS_A_1,5.992795,[5.3695946]
4S2Z_A_1,6.0364895,[5.3694386]
4S30_A_1,6.021448,[5.369441]
6D5Y_A_1,3.6304314,[5.3699336]
7E75_A_1,3.5722876,[5.3695154]
2GPH_A_1,6.010352,[5.3698363]
6RFP_A_1,1.8824314,[5.3698826]
4IZ7_A_1,4.082472,[5.369691]
2E7O_A_1,4.0966973,[5.373533]
1OS2_A_1,2.9718325,[5.3703995]
3BA0_A_1,2.9894872,[5.3671675]
2K9C_A_1,3.650009,[5.3665395]
1AWQ_A_1,8.062663,[5.369509]
3K0O_A_1,2.8578627,[5.370594]
3K0R_A_1,2.4175236,[5.369647]
7TA8_A_1,2.5576031,[5.370027]
1OD0_A_1,1.9650774,[5.3666387]
6R6H_V_1,3.0244708,[5.3656635]
4WQO_A_1,1.5751792,[5.373618]
4JX3_A_1,2.3973048,[5.369641]
