apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[2.3246615]
1O73_A_1,1.9548372,[2.844465]
6NTP_A_1,9.128823,[2.767103]
3SME_A_1,8.262643,[2.56745]
4BJO_A_1,7.5608807,[2.6445124]
2F6F_A_1,7.9059744,[2.6659286]
4QBE_A_1,7.8978105,[2.477763]
5KA4_A_1,7.213529,[2.8351088]
6CWV_A_1,7.981354,[2.876897]
6CWU_A_1,7.9326577,[2.744509]
1I57_A_1,7.9206886,[2.5169399]
7KEN_A_1,7.8149276,[2.4955928]
7L0C_A_1,7.7894077,[2.3559072]
3A5K_A_1,7.7665625,[2.4776654]
3ZV2_A_1,8.25236,[2.663574]
1H05_A_1,3.2727282,[3.0179346]
4CKZ_A_1,3.3738415,[2.3035479]
1CAN_A_1,4.140302,[2.5557253]
5ZXW_A_1,4.205081,[2.7292387]
3MNJ_A_1,4.1369333,[2.508561]
5CA2_A_1,3.3917072,[2.5962029]
1ZSA_A_1,3.4809418,[2.6014116]
1CAK_A_1,3.296996,[2.5951757]
12CA_A_1,4.1551027,[2.5588505]
1CA3_A_1,4.1008286,[2.4795628]
1UGD_A_1,4.1463895,[2.6366727]
1CAJ_A_1,3.296996,[2.568772]
1HED_A_1,3.2445416,[2.5916967]
1CNH_A_1,4.2293005,[2.5864303]
1UGF_A_1,4.139837,[2.590628]
2NXR_A_1,4.141303,[2.6285822]
1HEA_A_1,3.2824237,[2.5882251]
1CCT_A_1,3.3452659,[2.5862856]
1UGB_A_1,4.1469254,[2.6404376]
1CVA_A_1,3.3452659,[2.5745351]
1LZV_A_1,4.1218195,[2.5850804]
3DVD_A_1,5.14909,[2.5917146]
6CA2_A_1,3.0536087,[2.5154297]
1CAL_A_1,3.3162649,[2.6184375]
9CA2_A_1,3.042811,[2.4589705]
3MNK_A_1,4.142635,[2.526698]
1CAI_A_1,3.296996,[2.5694048]
1TH9_A_1,4.173479,[2.589549]
1HEB_A_1,3.2825415,[2.6069808]
3DVC_A_1,5.148861,[2.5997257]
1DCA_A_1,3.3427968,[2.5974045]
1G3Z_A_1,4.057468,[2.6365476]
3RG4_A_1,4.1915336,[2.6559255]
1TG3_A_1,5.1585927,[2.6064324]
1H9Q_A_1,3.5762584,[2.651387]
1CNI_A_1,4.2621136,[2.6673756]
1CNG_A_1,3.4397168,[2.5776916]
1H9N_A_1,3.5729108,[2.674164]
1BIC_A_1,3.3917072,[2.607543]
1UGE_A_1,4.108273,[2.576383]
1CCU_A_1,3.3452659,[2.579117]
4QK1_A_1,4.116049,[2.3450084]
4YGJ_A_1,4.122528,[2.5259728]
3DV7_A_1,5.151066,[2.5832052]
1CCS_A_1,3.3435767,[2.5762608]
7CA2_A_1,3.0406842,[2.5140433]
1CVF_A_1,4.510287,[2.6247854]
1HEC_A_1,3.2847116,[2.6266499]
1CVC_A_1,4.508988,[2.5611906]
3DVB_A_1,5.148794,[2.5914204]
1CVE_A_1,3.5813978,[2.5435307]
8CA2_A_1,3.0631206,[2.5041597]
1UGC_A_1,4.106978,[2.6028938]
1UGA_A_1,4.120177,[2.5899699]
2NWO_A_1,5.160262,[2.6008508]
3RG3_A_1,4.2132516,[2.6913173]
2NWY_A_1,4.145458,[2.62767]
1CNB_A_1,4.547288,[2.52767]
1HVA_A_1,4.5254927,[2.4665346]
1MUA_A_1,4.142195,[2.5578084]
2FNK_A_1,5.1339974,[2.5609956]
1FQL_A_1,4.1442637,[2.634026]
1YO0_A_1,4.262053,[2.6703176]
1LG5_A_1,3.3703973,[2.7276075]
3M1Q_A_1,5.2163815,[2.4905598]
1CVD_A_1,3.5729108,[2.5706975]
1CVH_A_1,3.4810338,[2.5696428]
3QPL_A_1,1.7914771,[2.8901272]
6BN8_C_1,2.753169,[2.619921]
2PV3_A_1,1.3798342,[4.137445]
2PV1_A_1,1.1994487,[2.3018575]
1M5Y_A_1,4.064401,[3.7606606]
5GKY_B_1,2.6315193,[2.05015]
2PPP_A_1,2.2742937,[2.299736]
2PPO_A_1,2.3127685,[2.161522]
1EYM_A_1,2.600794,[1.939934]
3O71_A_1,6.024683,[2.6830213]
7E73_A_1,3.744397,[2.877107]
3ZU7_A_1,5.9916024,[2.8030207]
6OT6_A_1,6.004528,[2.6018374]
6OTS_A_1,5.7045937,[3.2185311]
3R63_A_1,6.032362,[3.0000226]
2FYS_A_1,5.992795,[2.772665]
4S2Z_A_1,6.0364895,[2.9782152]
4S30_A_1,6.021448,[2.9669971]
6D5Y_A_1,3.6304314,[2.7180223]
7E75_A_1,3.5722876,[2.5425484]
2GPH_A_1,6.010352,[2.5219512]
6RFP_A_1,1.8824314,[2.7469175]
4IZ7_A_1,4.082472,[2.703159]
2E7O_A_1,4.0966973,[3.09643]
1OS2_A_1,2.9718325,[2.0518756]
3BA0_A_1,2.9894872,[3.0066092]
2K9C_A_1,3.650009,[4.4437966]
1AWQ_A_1,8.062663,[2.481878]
3K0O_A_1,2.8578627,[2.1816013]
3K0R_A_1,2.4175236,[2.2822325]
7TA8_A_1,2.5576031,[2.3527367]
1OD0_A_1,1.9650774,[2.0844626]
6R6H_V_1,3.0244708,[2.138917]
4WQO_A_1,1.5751792,[2.1662042]
4JX3_A_1,2.3973048,[2.248848]
1XQZ_A_1,2.4238684,[2.269269]
3L1A_A_1,3.7215176,[2.3555841]
2CGH_A_1,1.8016777,[2.391338]
1CRM_A_1,4.199846,[2.9810772]
3SK1_A_1,0.7561243,[2.8165216]
7YER_B_1,6.1200795,[2.9686155]
3FKE_A_1,5.9699826,[4.851312]
5BPV_A_1,5.826239,[2.108178]
5MXE_A_1,0.38467512,[2.466979]
5UFB_A_1,0.73207724,[2.6315944]
5J80_A_1,3.3503292,[3.0321205]
8B7I_A_1,2.7649524,[3.1181178]
6GP4_A_1,2.7264779,[5.009008]
2K5B_A_1,2.981444,[2.9333642]
3FJU_A_1,0.40763164,[2.7874799]
7CML_A_1,3.0172095,[3.077724]
5UQ1_A_1,5.645637,[3.1931403]
2NWN_A_1,9.601694,[2.2619445]
4ZKS_U_1,4.4886456,[2.2724903]
2WUD_A_1,1.7066374,[2.4293003]
1ZJD_A_1,3.9131076,[2.258363]
1XXD_A_1,3.0630946,[2.3420815]
1IDP_A_1,2.0050285,[2.212312]
1GYJ_A_1,9.84299,[3.1169946]
1BTP_A_1,9.373781,[2.8283234]
1EZX_C_1,9.242449,[2.9884734]
6MRQ_A_1,3.8379123,[2.746812]
1OPH_B_1,8.355222,[2.8652117]
3VEQ_B_1,8.874638,[2.9292328]
1TAW_A_1,3.8087063,[2.7748432]
1YH3_A_1,1.0595568,[2.1762557]
1ZVM_A_1,0.9674741,[2.2880902]
7DHA_A_1,3.4679642,[2.3834524]
5F1K_A_1,0.9337765,[2.2969513]
3F6Y_A_1,2.4181974,[2.2216566]
5F1O_A_1,1.0514232,[2.167674]
3RAJ_A_1,2.4186282,[2.2293117]
2DP3_A_1,1.8111482,[2.861347]
4BI5_A_1,2.839576,[3.116098]
1UZ6_E_1,2.4648304,[3.6432557]
1BBS_A_1,8.978439,[2.8068235]
2X0B_A_1,6.882694,[2.805261]
1L0E_A_1,3.5957358,[2.5070748]
3IWQ_A_1,3.6474621,[2.4987125]
1L0F_A_1,3.6568022,[2.7371764]
1L0D_A_1,3.6541648,[2.540253]
