apo_name,true_label,predicted_label
2OUV_A_1,8.522723,[5.431848]
1O73_A_1,1.9548372,[3.4629402]
6NTP_A_1,9.128823,[7.558453]
4BJO_A_1,7.5608807,[7.047944]
2F6F_A_1,7.9059744,[6.8706565]
4QBE_A_1,7.8978105,[6.834174]
5KA4_A_1,7.213529,[7.1263256]
6CWV_A_1,7.981354,[6.988167]
6CWU_A_1,7.9326577,[7.363722]
7KEN_A_1,7.8149276,[7.017601]
7L0C_A_1,7.7894077,[7.247702]
3A5K_A_1,7.7665625,[7.9653473]
3ZV2_A_1,8.25236,[7.6288486]
4CKZ_A_1,3.3738415,[5.762068]
1CAN_A_1,4.140302,[4.5840797]
3MNJ_A_1,4.1369333,[5.8617983]
1ZSA_A_1,3.4809418,[5.362461]
1CAK_A_1,3.296996,[4.838197]
12CA_A_1,4.1551027,[5.1152406]
1CA3_A_1,4.1008286,[5.2190466]
1UGD_A_1,4.1463895,[4.640769]
1CAJ_A_1,3.296996,[5.0337462]
1HED_A_1,3.2445416,[5.1718216]
1CNH_A_1,4.2293005,[5.3174706]
1UGF_A_1,4.139837,[4.9776564]
2NXR_A_1,4.141303,[5.145374]
1HEA_A_1,3.2824237,[5.471245]
1CCT_A_1,3.3452659,[4.749783]
3DVD_A_1,5.14909,[5.393867]
1CAL_A_1,3.3162649,[4.8721523]
9CA2_A_1,3.042811,[4.4296293]
3MNK_A_1,4.142635,[5.6281133]
1CAI_A_1,3.296996,[5.5674353]
1TH9_A_1,4.173479,[5.197564]
1HEB_A_1,3.2825415,[5.3485055]
3DVC_A_1,5.148861,[4.525744]
1G3Z_A_1,4.057468,[5.153126]
3RG4_A_1,4.1915336,[5.901871]
1TG3_A_1,5.1585927,[4.963089]
1CNI_A_1,4.2621136,[5.1142616]
1CNG_A_1,3.4397168,[4.563409]
1H9N_A_1,3.5729108,[5.27099]
1BIC_A_1,3.3917072,[4.4054484]
1UGE_A_1,4.108273,[5.2116327]
1CCU_A_1,3.3452659,[4.8168]
4QK1_A_1,4.116049,[5.0704885]
4YGJ_A_1,4.122528,[4.845046]
3DV7_A_1,5.151066,[5.5110836]
1CCS_A_1,3.3435767,[4.7414675]
7CA2_A_1,3.0406842,[5.122785]
1CVF_A_1,4.510287,[5.3311462]
1HEC_A_1,3.2847116,[4.7752404]
3DVB_A_1,5.148794,[5.076479]
1CVE_A_1,3.5813978,[4.654978]
8CA2_A_1,3.0631206,[4.729632]
1UGC_A_1,4.106978,[4.7278833]
1UGA_A_1,4.120177,[5.479476]
2NWO_A_1,5.160262,[5.219782]
3RG3_A_1,4.2132516,[5.458721]
2NWY_A_1,4.145458,[5.4364443]
1CNB_A_1,4.547288,[4.995856]
1HVA_A_1,4.5254927,[5.545442]
2FNK_A_1,5.1339974,[5.289175]
1FQL_A_1,4.1442637,[5.032719]
1YO0_A_1,4.262053,[4.8752975]
1LG5_A_1,3.3703973,[4.433955]
3M1Q_A_1,5.2163815,[5.228155]
1CVD_A_1,3.5729108,[5.2088757]
1CVH_A_1,3.4810338,[5.387285]
4MD7_E_1,3.731822,[4.838145]
4MD8_E_1,3.7329202,[4.5673385]
2R7I_A_1,3.7986329,[4.6826487]
5ZN5_A_1,4.044492,[3.9307997]
4MD9_E_1,3.554365,[5.3674655]
4DGL_C_1,4.1990356,[5.193576]
5ZN4_A_1,4.05482,[4.4485645]
5ZN3_A_1,4.0333433,[4.4604654]
5ZN2_A_1,4.0034885,[4.4249973]
2PV3_A_1,1.3798342,[2.5271797]
5GKY_B_1,2.6315193,[4.3895044]
