pdb_id,apo_pdb_id,apo_chain
6ugp,6EQU,A
6ugp,1CA3,A
6ugp,1XPZ,A
6ugp,4PQ7,A
6ugp,3R16,A
6ugp,3PYK,A
6ugp,5NXI,A
6ugp,1A42,A
6ugp,1CAN,A
6ugp,5JEG,B
6ugp,5ZXW,A
6ugp,4QEF,A
6ugp,3U3A,X
6ugp,3M04,A
6ugp,3MNJ,A
6ugp,5CA2,A
6ugp,1ZSA,A
6ugp,3U47,A
6ugp,5JE7,B
6ugp,1CAK,A
6ugp,12CA,A
6ugp,1UGD,A
6ugp,3U45,X
6ugp,5JES,B
6ugp,5JEP,B
6ugp,3MNH,A
6ugp,1CAJ,A
6ugp,7ONV,AAA
6ugp,4L5V,A
6ugp,6RMY,A
6ugp,1HED,A
6ugp,5JEH,B
6ugp,1CNH,A
6ugp,1YDB,A
6ugp,1UGF,A
6ugp,2POV,A
6ugp,2NXR,A
6ugp,7ONV,A
6ugp,8OGD,A
6ugp,1HEA,A
6ugp,4KAP,A
6ugp,1CCT,A
6ugp,1UGB,A
6ugp,4L5U,A
6ugp,3MNI,A
6ugp,1CVA,A
6ugp,1LZV,A
6ugp,3DVD,A
6ugp,6CA2,A
6ugp,1CAL,A
6ugp,9CA2,A
6ugp,1YDD,A
6ugp,3MNK,A
6ugp,1CAI,A
6ugp,1H4N,A
6ugp,1CNJ,A
6ugp,1TH9,A
6ugp,1HEB,A
6ugp,3DVC,A
6ugp,6RMX,A
6ugp,4ZWI,A
6ugp,7ONQ,A
6ugp,1DCA,A
6ugp,1G3Z,A
6ugp,3RG4,A
6ugp,1TG3,A
6ugp,1H9Q,A
6ugp,3TVN,X
6ugp,1CNI,A
6ugp,1CNG,A
6ugp,1H9N,A
6ugp,1BIC,A
6ugp,4KUV,A
6ugp,1UGE,A
6ugp,5JGT,B
6ugp,1G0E,A
6ugp,1CCU,A
6ugp,3RYV,B
6ugp,4QK1,A
6ugp,4YGJ,A
6ugp,3RLD,A
6ugp,4JS6,A
6ugp,3DV7,A
6ugp,5JG5,B
6ugp,3DBU,A
6ugp,1YDA,A
6ugp,1CCS,A
6ugp,7CA2,A
6ugp,5JDV,B
6ugp,1CVF,A
6ugp,4QK2,A
6ugp,1HEC,A
6ugp,1CVC,A
6ugp,3DVB,A
6ugp,1CVE,A
6ugp,7ONQ,AAA
6ugp,3KIG,A
6ugp,1CNK,A
6ugp,8CA2,A
6ugp,5JGS,B
6ugp,4BCW,A
6ugp,1UGC,A
6ugp,1UGA,A
6ugp,2NWO,A
6ugp,3RG3,A
6ugp,2NWY,A
6ugp,1CNB,A
6ugp,5JG3,B
6ugp,5TH4,A
6ugp,1HVA,A
6ugp,2FOQ,A
6ugp,1ZH9,A
6ugp,4L5W,A
6ugp,3RGE,A
6ugp,3TVO,X
6ugp,1MUA,A
6ugp,2FNK,A
6ugp,1FQL,A
6ugp,1YO0,A
6ugp,1LG5,A
6ugp,3PJJ,A
6ugp,3M1Q,A
6ugp,5T71,A
6ugp,5T75,A
6ugp,1CVD,A
6ugp,1CVH,A
6ugp,2FNM,A
4rdn,4RDN,A
3s0b,3RZS,A
6r1d,4V2Y,A
6r1d,7PS9,A
6r1d,7SHH,A
6r1d,4V32,A
6r1d,8OU6,A
6r1d,8OU9,A
3fwv,3FWV,A
1qin,7WSZ,A
1qin,1FRO,A
1qin,3VW9,A
1qin,7WT2,A
4b5d,4AFG,A
3b26,7LSZ,A
3b26,3K98,A
3b26,4YKQ,A
3b26,3TUH,A
3b26,3QDD,A
3b26,3INW,A
3b26,1UY6,A
3b26,3R4M,A
3b26,3D0B,A
3b26,3B24,A
3b26,2BSM,A
3b26,3HHU,A
3b26,2YI0,A
3b26,6TN4,AAA
3b26,4EEH,A
3b26,4AWO,A
3b26,4NH7,A
3b26,3BM9,A
3b26,2YE2,A
3b26,4B7P,A
3b26,5J82,A
3b26,4EGH,A
3b26,3EKO,A
3b26,2XDU,A
3b26,8X2R,A
3b26,2CCS,A
3b26,2XAB,A
3b26,2FWY,A
3b26,1BYQ,A
3b26,6LR9,A
3b26,6U99,A
3b26,8KI4,A
3b26,4LWE,A
3b26,5GGZ,A
3b26,6EI5,A
3b26,5J2X,A
3b26,1UYI,A
3b26,6GQS,A
3b26,5J6L,A
3b26,5H22,A
3b26,1OSF,A
3b26,2YE7,A
3b26,3K97,A
3b26,6OLX,A
3b26,5J80,A
3b26,6U98,A
3b26,2XHX,A
3b26,2JJC,A
3b26,5J6M,A
3b26,2K5B,A
3b26,6GP4,A
3b26,5J20,A
3b26,2QFO,A
3b26,8B7I,A
3b26,1YC1,A
3b26,2XJJ,A
3b26,5LQ9,A
3b26,2YEE,A
3b26,2QF6,A
3b26,5LR1,A
3b26,2YJW,A
3b26,8FFV,A
3b26,7KRJ,A
2v25,2V25,A
6g3a,6G3A,A
6g3a,2WB8,A
6g3a,7SQM,A
6g3a,6G39,A
6g3a,3DLZ,A
4oc2,3RBU,A
4oc2,5ELY,A
4oc2,2C6C,A
4oc2,2OOT,A
4oc2,4MCP,A
4oc2,2XEF,A
4oc2,4MCS,A
4oc2,5F09,A
4oc2,3BXM,A
4oc2,5OF0,A
4oc2,1Z8L,A
4f5y,8A2H,A
4f5y,4KSY,A
4f5y,4F5W,A
4f5y,6CFF,A
4f5y,7KVX,A
4f5y,8P01,A
4f5y,6RM0,A
4f5y,6Y99,A
4f5y,4F5D,A
4f5y,7X9P,A
4f5y,6CY7,A
