holo_name,apo_name,holo_chain,apo_chain,ligand,ligand_atom_count,loop_per,apo_group_id,family50_id
6ugp,1CA3,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CAN,A,A,TRS,20,48.888888888888886,0,0
6ugp,5ZXW,A,A,TRS,20,48.888888888888886,0,0
6ugp,3MNJ,A,A,TRS,20,48.888888888888886,0,0
6ugp,5CA2,A,A,TRS,20,48.888888888888886,0,0
6ugp,1ZSA,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CAK,A,A,TRS,20,48.888888888888886,0,0
6ugp,12CA,A,A,TRS,20,48.888888888888886,0,0
6ugp,1UGD,A,A,TRS,20,48.888888888888886,0,0
6ugp,3MNH,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CAJ,A,A,TRS,20,48.888888888888886,0,0
6ugp,1HED,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CNH,A,A,TRS,20,48.888888888888886,0,0
6ugp,1UGF,A,A,TRS,20,48.888888888888886,0,0
6ugp,2NXR,A,A,TRS,20,48.888888888888886,0,0
6ugp,1HEA,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CCT,A,A,TRS,20,48.888888888888886,0,0
6ugp,1UGB,A,A,TRS,20,48.888888888888886,0,0
6ugp,3MNI,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CVA,A,A,TRS,20,48.888888888888886,0,0
6ugp,1LZV,A,A,TRS,20,48.888888888888886,0,0
6ugp,3DVD,A,A,TRS,20,48.888888888888886,0,0
6ugp,6CA2,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CAL,A,A,TRS,20,48.888888888888886,0,0
6ugp,9CA2,A,A,TRS,20,48.888888888888886,0,0
6ugp,3MNK,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CAI,A,A,TRS,20,48.888888888888886,0,0
6ugp,1CNJ,A,A,TRS,20,48.888888888888886,0,0
6ugp,1TH9,A,A,TRS,20,48.888888888888886,0,0
6ugp,1HEB,A,A,TRS,20,48.888888888888886,0,0
6ugp,3DVC,A,A,TRS,20,48.888888888888886,0,0
6ugp,1DCA,A,A,TRS,20,48.888888888888886,0,0
6ugp,1G3Z,A,A,TRS,20,48.888888888888886,0,0
6ugp,3RG4,A,A,TRS,20,48.888888888888886,0,0
