apo_name,true_label,predicted_label
1NNA_A_1,2.6186945,[2.162398]
1O73_A_1,1.398155,[2.2705011]
6NTP_A_1,3.0213943,[2.2981768]
3SME_A_1,2.8744812,[2.2670083]
4BJO_A_1,2.7497056,[2.2799258]
2F6F_A_1,2.8117564,[2.325707]
4QBE_A_1,2.8103044,[2.303546]
5KA4_A_1,2.6858015,[2.308752]
6CWV_A_1,2.825129,[2.3064344]
6CWU_A_1,2.8164973,[2.3416224]
1I57_A_1,2.8143718,[2.3028984]
7KEN_A_1,2.795519,[2.2765088]
7L0C_A_1,2.790951,[2.2754316]
3A5K_A_1,2.7868552,[2.3366413]
3ZV2_A_1,2.872692,[2.3357823]
1H05_A_1,1.8090683,[2.2464576]
4CKZ_A_1,1.836802,[2.2159033]
1CAN_A_1,2.0347733,[2.2170115]
5ZXW_A_1,2.0506294,[2.1923938]
3MNJ_A_1,2.0339453,[2.207963]
5CA2_A_1,1.8416588,[2.2603283]
1ZSA_A_1,1.8657283,[2.2222419]
1CAK_A_1,1.8157632,[2.2413564]
12CA_A_1,2.0384068,[2.226883]
1CA3_A_1,2.0250504,[2.2110496]
1UGD_A_1,2.0362685,[2.2336626]
1CAJ_A_1,1.8157632,[2.240195]
1HED_A_1,1.8012611,[2.2413716]
1CNH_A_1,2.0565264,[2.229917]
1UGF_A_1,2.034659,[2.2196598]
2NXR_A_1,2.0350192,[2.229282]
1HEA_A_1,1.811746,[2.2356868]
1CCT_A_1,1.8290068,[2.226235]
1UGB_A_1,2.0364,[2.2230248]
1CVA_A_1,1.8290068,[2.2276235]
1LZV_A_1,2.0302265,[2.2142615]
3DVD_A_1,2.2691605,[2.239913]
6CA2_A_1,1.7474577,[2.2078857]
1CAL_A_1,1.8210615,[2.2286344]
9CA2_A_1,1.7443655,[2.1881683]
3MNK_A_1,2.0353463,[2.2223537]
1CAI_A_1,1.8157632,[2.2124224]
1TH9_A_1,2.0429094,[2.2531419]
1HEB_A_1,1.8117785,[2.2272794]
3DVC_A_1,2.2691102,[2.215737]
1DCA_A_1,1.8283317,[2.2327232]
1G3Z_A_1,2.0143158,[2.229546]
3RG4_A_1,2.0473235,[2.260488]
1TG3_A_1,2.2712536,[2.2258348]
1H9Q_A_1,1.8910998,[2.240192]
1CNI_A_1,2.0644886,[2.210754]
1CNG_A_1,1.8546474,[2.235485]
1H9N_A_1,1.8902144,[2.2455497]
1BIC_A_1,1.8416588,[2.2468283]
1UGE_A_1,2.0268874,[2.2242584]
1CCU_A_1,1.8290068,[2.2374768]
4QK1_A_1,2.0288048,[2.2271264]
4YGJ_A_1,2.030401,[2.185659]
3DV7_A_1,2.2695959,[2.2474937]
1CCS_A_1,1.828545,[2.2022247]
7CA2_A_1,1.7437558,[2.2495584]
1CVF_A_1,2.1237435,[2.2271929]
1HEC_A_1,1.8123773,[2.2093167]
1CVC_A_1,2.1234376,[2.202765]
3DVB_A_1,2.2690954,[2.2317386]
1CVE_A_1,1.8924581,[2.2133718]
8CA2_A_1,1.7501773,[2.2473106]
1UGC_A_1,2.026568,[2.236879]
1UGA_A_1,2.0298219,[2.2078]
2NWO_A_1,2.271621,[2.2123957]
3RG3_A_1,2.0526206,[2.204787]
2NWY_A_1,2.0360398,[2.2107604]
1CNB_A_1,2.132437,[2.2107697]
1HVA_A_1,2.1273205,[2.211534]
1MUA_A_1,2.0352383,[2.2326589]
2FNK_A_1,2.2658327,[2.1830535]
1FQL_A_1,2.0357466,[2.2036648]
1YO0_A_1,2.064474,[2.2491288]
1LG5_A_1,1.8358642,[2.1915255]
3M1Q_A_1,2.2839398,[2.2060194]
1CVD_A_1,1.8902144,[2.203289]
1CVH_A_1,1.8657529,[2.2386823]
