apo_name,true_label,predicted_label
2OUV_A_1,8.522723,[3.0696838]
1O73_A_1,1.9548372,[3.7302017]
6NTP_A_1,9.128823,[5.5586824]
4BJO_A_1,7.5608807,[5.117026]
2F6F_A_1,7.9059744,[5.397689]
4QBE_A_1,7.8978105,[5.2419415]
5KA4_A_1,7.213529,[4.5381565]
6CWV_A_1,7.981354,[4.5383363]
6CWU_A_1,7.9326577,[5.462548]
7KEN_A_1,7.8149276,[4.4222393]
7L0C_A_1,7.7894077,[4.8527136]
3A5K_A_1,7.7665625,[5.5726895]
3ZV2_A_1,8.25236,[5.0165925]
4CKZ_A_1,3.3738415,[5.005395]
1CAN_A_1,4.140302,[2.6203127]
3MNJ_A_1,4.1369333,[3.4747233]
1ZSA_A_1,3.4809418,[2.949599]
1CAK_A_1,3.296996,[2.5133626]
12CA_A_1,4.1551027,[2.9359431]
1CA3_A_1,4.1008286,[2.9570441]
1UGD_A_1,4.1463895,[2.8141603]
1CAJ_A_1,3.296996,[2.7062109]
1HED_A_1,3.2445416,[3.0348265]
1CNH_A_1,4.2293005,[2.8458066]
1UGF_A_1,4.139837,[2.9651828]
2NXR_A_1,4.141303,[2.7857282]
1HEA_A_1,3.2824237,[2.6548965]
1CCT_A_1,3.3452659,[2.8304641]
3DVD_A_1,5.14909,[2.9524624]
1CAL_A_1,3.3162649,[2.6628387]
9CA2_A_1,3.042811,[2.823398]
3MNK_A_1,4.142635,[3.1599329]
1CAI_A_1,3.296996,[2.7475545]
1TH9_A_1,4.173479,[2.7173073]
1HEB_A_1,3.2825415,[3.0342011]
3DVC_A_1,5.148861,[3.0394714]
1G3Z_A_1,4.057468,[2.9039009]
3RG4_A_1,4.1915336,[2.9355521]
1TG3_A_1,5.1585927,[2.9037073]
1CNI_A_1,4.2621136,[3.052832]
1CNG_A_1,3.4397168,[2.7051756]
1H9N_A_1,3.5729108,[2.9086597]
1BIC_A_1,3.3917072,[2.6770532]
1UGE_A_1,4.108273,[2.9447844]
1CCU_A_1,3.3452659,[3.057278]
4QK1_A_1,4.116049,[3.2496974]
4YGJ_A_1,4.122528,[2.8019922]
3DV7_A_1,5.151066,[2.8355186]
1CCS_A_1,3.3435767,[2.6905782]
7CA2_A_1,3.0406842,[2.9254725]
1CVF_A_1,4.510287,[2.7554882]
1HEC_A_1,3.2847116,[2.9281518]
3DVB_A_1,5.148794,[2.8957474]
1CVE_A_1,3.5813978,[2.8410935]
8CA2_A_1,3.0631206,[2.8435502]
1UGC_A_1,4.106978,[2.8807971]
1UGA_A_1,4.120177,[2.853759]
2NWO_A_1,5.160262,[3.0629094]
3RG3_A_1,4.2132516,[3.017615]
2NWY_A_1,4.145458,[3.0883281]
1CNB_A_1,4.547288,[3.069748]
1HVA_A_1,4.5254927,[2.5074744]
2FNK_A_1,5.1339974,[2.9584548]
1FQL_A_1,4.1442637,[2.8972561]
1YO0_A_1,4.262053,[2.8300683]
1LG5_A_1,3.3703973,[2.6155033]
3M1Q_A_1,5.2163815,[3.0880675]
1CVD_A_1,3.5729108,[2.9369211]
1CVH_A_1,3.4810338,[2.9889185]
4MD7_E_1,3.731822,[2.5690868]
4MD8_E_1,3.7329202,[3.2881024]
2R7I_A_1,3.7986329,[2.7436652]
5ZN5_A_1,4.044492,[2.5476725]
4MD9_E_1,3.554365,[3.1101263]
4DGL_C_1,4.1990356,[3.3359401]
5ZN4_A_1,4.05482,[2.517841]
5ZN3_A_1,4.0333433,[2.500582]
5ZN2_A_1,4.0034885,[2.394727]
2PV3_A_1,1.3798342,[3.7119849]
5GKY_B_1,2.6315193,[5.7853355]
2PPP_A_1,2.2742937,[6.3974695]
2PPO_A_1,2.3127685,[5.8503323]
1EYM_A_1,2.600794,[5.2746987]
7E73_A_1,3.744397,[3.5242808]
3ZU7_A_1,5.9916024,[3.107517]
6OT6_A_1,6.004528,[3.0402315]
6OTS_A_1,5.7045937,[3.5682728]
3R63_A_1,6.032362,[3.194832]
2FYS_A_1,5.992795,[3.3781428]
4S2Z_A_1,6.0364895,[3.3723671]
4S30_A_1,6.021448,[3.4947207]
6D5Y_A_1,3.6304314,[3.0666738]
7E75_A_1,3.5722876,[2.7898867]
6RFP_A_1,1.8824314,[2.8036907]
2E7O_A_1,4.0966973,[4.342907]
1OS2_A_1,2.9718325,[4.1279182]
2K9C_A_1,3.650009,[2.6386566]
1AWQ_A_1,8.062663,[5.720392]
1OD0_A_1,1.9650774,[1.7499295]
6R6H_V_1,3.0244708,[4.4777803]
4JX3_A_1,2.3973048,[3.1341193]
2CGH_A_1,1.8016777,[4.19844]
1CRM_A_1,4.199846,[3.5106971]
3SK1_A_1,0.7561243,[4.360529]
7YER_B_1,6.1200795,[5.0955935]
3FKE_A_1,5.9699826,[2.7324893]
5BPV_A_1,5.826239,[5.0344934]
5MXE_A_1,0.38467512,[3.7093844]
5UFB_A_1,0.73207724,[3.102506]
5J80_A_1,3.3503292,[4.255112]
8B7I_A_1,2.7649524,[4.8871307]
6GP4_A_1,2.7264779,[3.7720013]
2K5B_A_1,2.981444,[4.5254526]
7CML_A_1,3.0172095,[3.0618389]
5UQ1_A_1,5.645637,[2.934233]
4ZKS_U_1,4.4886456,[4.880588]
1ZJD_A_1,3.9131076,[3.885753]
1XXD_A_1,3.0630946,[3.8004625]
1IDP_A_1,2.0050285,[4.2047534]
1GYJ_A_1,9.84299,[8.038281]
6MRQ_A_1,3.8379123,[3.8438165]
1OPH_B_1,8.355222,[5.42989]
3VEQ_B_1,8.874638,[5.6180067]
1TAW_A_1,3.8087063,[3.977871]
1Q9P_A_1,6.943831,[3.205063]
7DHA_A_1,3.4679642,[2.9266663]
2DP3_A_1,1.8111482,[4.7014027]
4BI5_A_1,2.839576,[4.6457853]
1BBS_A_1,8.978439,[3.53745]
2X0B_A_1,6.882694,[3.77055]
3IWQ_A_1,3.6474621,[3.2233737]
1L0F_A_1,3.6568022,[3.581675]
1L0D_A_1,3.6541648,[3.1371224]
3IXD_A_1,2.2217178,[2.9024925]
3IWI_A_1,9.614262,[3.3509202]
1OBP_A_1,2.2675579,[4.9099255]
6C4S_A_1,1.8635042,[5.7619762]
5EMT_A_1,5.735841,[6.833527]
1KPB_A_1,5.765163,[6.110665]
5WAA_A_1,5.315064,[5.7892246]
1G5W_A_1,2.7254083,[3.9323118]
3RSW_A_1,4.3854756,[4.836803]
8ALY_A_1,2.9403908,[2.8795466]
4KDI_A_1,2.1216106,[4.519477]
3QC8_A_1,2.151034,[4.3464856]
2PJH_B_1,2.659788,[4.2789764]
3TIW_A_1,2.0920758,[4.573006]
1C5M_D_1,6.500857,[3.857992]
1HCG_A_1,4.1621423,[4.1368423]
3PSL_A_1,8.508774,[4.8550315]
5SXM_A_1,8.456059,[5.0740623]
2H9M_A_1,8.537142,[4.9747086]
4CY2_A_1,8.566297,[4.6760178]
6BYN_W_1,8.551948,[4.939005]
3EMH_A_1,8.475697,[4.7570634]
3MXX_A_1,8.564393,[4.7362366]
3N0E_A_1,8.552443,[4.8693523]
3N0D_A_1,8.564842,[4.8569603]
4JUY_A_1,1.8029402,[3.5349727]
1FY8_E_1,4.142087,[6.1198034]
1AMH_A_1,4.615971,[5.857442]
5TXS_A_1,1.3799814,[3.3628504]
1SWF_A_1,7.0715747,[6.1313257]
5N7X_A_1,6.745679,[6.026706]
1HQQ_A_1,7.0768247,[5.5857053]
1RST_B_1,6.9334946,[5.934088]
1STR_B_1,6.9597287,[5.664653]
1SWH_A_1,7.060687,[6.321027]
1SWL_A_1,6.941757,[5.589386]
1SWO_A_1,3.5413716,[5.6484017]
1N7Y_A_1,7.0727143,[6.0574255]
1SWS_A_1,7.074774,[6.2147255]
1SWQ_A_1,2.091202,[6.1877418]
1PTS_A_1,6.9406834,[6.0929627]
6MGX_A_1,2.8167248,[3.4072978]
4RM5_A_1,2.1739104,[5.3847055]
4TYF_A_1,1.3843422,[4.125973]
6CAC_A_1,6.3601375,[3.6814427]
3S0Z_A_1,2.63278,[4.7934675]
3S4U_A_1,5.62617,[3.5560696]
7ZPV_A_1,5.958693,[3.1829112]
1YLW_A_1,5.9664617,[4.4722223]
6D7I_A_1,5.926533,[3.2317483]
5TWD_A_1,5.8931446,[3.217699]
8AF8_A_1,5.947621,[4.0967097]
6CYN_A_1,5.8560233,[3.9032023]
4PMA_A_1,0.61854357,[3.304039]
1A30_A_1,7.0347877,[5.6205378]
5D2O_A_1,1.2698923,[4.0463843]
2B29_A_1,2.6926904,[4.120595]
5N8A_A_1,2.327593,[6.2763176]
1PBH_A_1,2.942668,[3.0180142]
3K9M_A_1,4.7502074,[3.6296964]
5H0Z_A_1,7.1107492,[6.4262524]
5H0Y_A_1,7.21435,[6.1687803]
1IJN_A_1,9.159184,[6.5777874]
5H0X_A_1,7.107049,[6.117943]
5H0W_A_1,6.156409,[5.8710856]
2J1X_A_1,3.417084,[3.5661738]
1UOL_A_1,3.4108737,[3.3613875]
5OAN_A_1,2.2764688,[3.4472692]
3DG9_A_1,2.009228,[5.4496226]
2VLB_A_1,5.402283,[4.9415684]
3IXM_A_1,4.923174,[5.3321157]
5LYO_A_1,7.923375,[5.5159917]
2ZLB_A_1,5.2937074,[3.2661016]
2KBW_A_1,3.1907187,[3.2880213]
5JSB_A_1,3.2486115,[2.8268793]
2PQK_A_1,3.3078353,[3.9707367]
5C6H_A_1,3.3110769,[3.5874212]
4HW4_A_1,3.1309292,[4.427527]
6QFI_A_1,3.2953365,[3.7571733]
5UUM_A_1,3.3716335,[3.9509964]
6MBD_A_1,3.1896708,[4.2071576]
2MHS_A_1,2.73197,[4.173508]
6MBE_A_1,3.178059,[3.283491]
7XGE_B_1,3.1080499,[4.0287733]
6XR6_A_1,6.407731,[4.1242557]
