apo_name,true_label,predicted_label
2OUV_A_1,4.507362,[4.5707064]
1O73_A_1,2.166887,[2.796991]
6NTP_A_1,4.63077,[4.1659603]
4BJO_A_1,4.294406,[4.32856]
2F6F_A_1,4.3734446,[4.1841335]
4QBE_A_1,4.3716106,[4.1971154]
5KA4_A_1,4.2115655,[3.9070597]
6CWV_A_1,4.390301,[3.9606073]
6CWU_A_1,4.379428,[4.2553563]
7KEN_A_1,4.3528934,[4.0399694]
7L0C_A_1,4.3470945,[4.2564893]
3A5K_A_1,4.3418894,[4.016252]
3ZV2_A_1,4.4497576,[4.161135]
4CKZ_A_1,2.9512835,[3.5695944]
1CAN_A_1,3.2742238,[3.7643626]
3MNJ_A_1,3.2729125,[3.822365]
1ZSA_A_1,2.9996665,[3.817899]
1CAK_A_1,2.9158325,[3.7272305]
12CA_A_1,3.279974,[3.8038323]
1CA3_A_1,3.258806,[3.7946737]
1UGD_A_1,3.2765908,[3.8352745]
1CAJ_A_1,2.9158325,[3.7512472]
1HED_A_1,2.8912678,[3.78215]
1CNH_A_1,3.3085551,[3.8525622]
1UGF_A_1,3.2740426,[3.8497376]
2NXR_A_1,3.2746131,[3.7310975]
1HEA_A_1,2.9090383,[3.7621257]
1CCT_A_1,2.938174,[3.7817237]
3DVD_A_1,3.6326082,[3.8509674]
1CAL_A_1,2.9247808,[3.773745]
9CA2_A_1,2.7938805,[3.8850818]
3MNK_A_1,3.2751312,[3.7612426]
1CAI_A_1,2.9158325,[3.860842]
1TH9_A_1,3.2870908,[3.8926623]
1HEB_A_1,2.9090934,[3.8306382]
3DVC_A_1,3.6325338,[3.9544702]
1G3Z_A_1,3.241732,[3.9552338]
3RG4_A_1,3.2940583,[4.0268283]
1TG3_A_1,3.6356966,[3.9280877]
1CNI_A_1,3.3210654,[3.8444536]
1CNG_A_1,2.9811811,[3.9230025]
1H9N_A_1,3.0403,[3.827769]
1BIC_A_1,2.9594362,[3.9198277]
1UGE_A_1,3.2617228,[3.8440454]
1CCU_A_1,2.938174,[3.68352]
4QK1_A_1,3.2647648,[3.8074365]
4YGJ_A_1,3.267296,[3.7610514]
3DV7_A_1,3.6332507,[3.952148]
1CCS_A_1,2.9373963,[3.8876386]
7CA2_A_1,2.792828,[3.7823155]
1CVF_A_1,3.4132333,[3.785515]
1HEC_A_1,2.9101064,[3.6733193]
3DVB_A_1,3.632512,[3.9740808]
1CVE_A_1,3.0440083,[3.9130433]
8CA2_A_1,2.8039026,[3.662214]
1UGC_A_1,3.2612157,[3.9248843]
1UGA_A_1,3.266378,[3.731462]
2NWO_A_1,3.6362386,[3.787069]
3RG3_A_1,3.3024075,[3.8050487]
2NWY_A_1,3.276229,[3.9228785]
1CNB_A_1,3.4266183,[3.7456238]
1HVA_A_1,3.4187448,[3.605194]
2FNK_A_1,3.6276934,[3.7252927]
1FQL_A_1,3.2757645,[3.8555436]
1YO0_A_1,3.3210425,[3.8790438]
1LG5_A_1,2.9497077,[3.7777188]
3M1Q_A_1,3.654376,[3.8934958]
1CVD_A_1,3.0403,[3.680367]
1CVH_A_1,2.9997075,[3.7955878]
4MD7_E_1,3.1086206,[3.6358957]
4MD8_E_1,3.1090848,[3.2556345]
2R7I_A_1,3.136662,[3.545939]
5ZN5_A_1,3.2365937,[3.4126446]
4MD9_E_1,3.0321722,[3.5302665]
4DGL_C_1,3.2969463,[3.4228895]
5ZN4_A_1,3.2406845,[3.518618]
5ZN3_A_1,3.232169,[3.4704726]
5ZN2_A_1,3.2202709,[3.4209945]
2PV3_A_1,1.7340616,[2.8849704]
5GKY_B_1,2.5793023,[2.8211153]
2PPP_A_1,2.3722043,[2.759437]
2PPO_A_1,2.3955684,[2.986883]
1EYM_A_1,2.5623088,[2.8578556]
7E73_A_1,3.1139286,[3.5039456]
3ZU7_A_1,3.8894196,[3.6947243]
6OT6_A_1,3.8931136,[3.6313941]
6OTS_A_1,3.8055859,[3.4856126]
3R63_A_1,3.9010453,[3.7947955]
2FYS_A_1,3.8897607,[3.923836]
4S2Z_A_1,3.9022188,[3.742278]
4S30_A_1,3.897939,[3.6029413]
6D5Y_A_1,3.0653,[3.5642734]
7E75_A_1,3.0400274,[3.4553175]
6RFP_A_1,2.1172683,[3.4265983]
2E7O_A_1,3.2571855,[3.6298056]
1OS2_A_1,2.758455,[3.035894]
2K9C_A_1,3.0737383,[2.5284815]
1AWQ_A_1,4.408326,[3.6992378]
1OD0_A_1,2.1738062,[2.7205544]
6R6H_V_1,2.784787,[2.760488]
4JX3_A_1,2.4459648,[2.9619243]
2CGH_A_1,2.0604367,[3.2409556]
1CRM_A_1,3.297258,[3.5819495]
3SK1_A_1,1.1262186,[2.716079]
7YER_B_1,3.9258378,[4.0088606]
3FKE_A_1,3.8832254,[3.3356223]
5BPV_A_1,3.8415477,[3.559862]
5MXE_A_1,0.65093106,[1.5739719]
5UFB_A_1,1.0986428,[2.84495]
5J80_A_1,2.9405031,[3.107562]
8B7I_A_1,2.6514704,[3.2754853]
6GP4_A_1,2.630927,[2.839917]
2K5B_A_1,2.763289,[3.4901884]
7CML_A_1,2.7811751,[3.5168722]
5UQ1_A_1,3.7879212,[3.5288131]
4ZKS_U_1,3.405363,[3.472777]
1ZJD_A_1,3.1838133,[3.4371493]
1XXD_A_1,2.8038898,[3.0422132]
1IDP_A_1,2.2005742,[2.6028075]
1GYJ_A_1,4.7670374,[4.756541]
6MRQ_A_1,3.1529665,[3.608569]
1OPH_B_1,4.4718695,[3.9919517]
3VEQ_B_1,4.5799394,[4.055802]
1TAW_A_1,3.1408563,[3.5221388]
1Q9P_A_1,4.144791,[3.9151304]
7DHA_A_1,2.9938657,[3.4291625]
2DP3_A_1,2.067186,[3.3106825]
4BI5_A_1,2.690724,[3.431021]
1BBS_A_1,4.6008534,[3.9263804]
2X0B_A_1,4.129339,[3.6969707]
3IWQ_A_1,3.0726426,[3.7772715]
1L0F_A_1,3.076658,[3.386521]
1L0D_A_1,3.075525,[3.5506482]
3IXD_A_1,2.3398294,[3.4330473]
3IWI_A_1,4.724397,[4.3773828]
1OBP_A_1,2.3680859,[3.3979423]
6C4S_A_1,2.1040921,[3.537647]
5EMT_A_1,3.8148854,[3.6679761]
1KPB_A_1,3.8235726,[3.521376]
5WAA_A_1,3.6858757,[3.458354]
1G5W_A_1,2.630353,[3.4518793]
3RSW_A_1,3.3674114,[3.3795094]
8ALY_A_1,2.74256,[3.1382365]
4KDI_A_1,2.276698,[2.6475675]
3QC8_A_1,2.2954614,[2.7320998]
2PJH_B_1,2.5948105,[2.8002832]
3TIW_A_1,2.2576854,[2.60444]
1C5M_D_1,4.0300345,[3.827693]
1HCG_A_1,3.2827034,[3.8678937]
3PSL_A_1,4.50443,[3.925154]
5SXM_A_1,4.4933114,[3.8146093]
2H9M_A_1,4.510388,[3.7577767]
4CY2_A_1,4.5164924,[3.876845]
6BYN_W_1,4.51349,[3.8162067]
3EMH_A_1,4.4974604,[3.804628]
3MXX_A_1,4.516094,[3.6941845]
3N0E_A_1,4.5135937,[3.7798605]
3N0D_A_1,4.516188,[3.7897418]
4JUY_A_1,2.061338,[3.0045135]
1FY8_E_1,3.274918,[3.5227177]
1AMH_A_1,3.451229,[3.4123313]
5TXS_A_1,1.7341853,[3.0500345]
1SWF_A_1,4.1766973,[3.388039]
5N7X_A_1,4.09427,[3.763809]
1HQQ_A_1,4.1779976,[3.661763]
1RST_B_1,4.142187,[3.758578]
1STR_B_1,4.14879,[3.5932307]
1SWH_A_1,4.1739974,[3.616575]
1SWL_A_1,4.144269,[3.4631975]
1SWO_A_1,3.0264583,[3.5758054]
1N7Y_A_1,4.1769795,[3.5722485]
1SWS_A_1,4.1774898,[3.7489173]
1SWQ_A_1,2.2571201,[3.5397277]
1PTS_A_1,4.1439986,[3.6223187]
6MGX_A_1,2.6787853,[4.0385175]
4RM5_A_1,2.3099287,[3.0153897]
4TYF_A_1,1.7378465,[3.5874212]
6CAC_A_1,3.9921572,[4.063263]
3S0Z_A_1,2.5799963,[3.257932]
3S4U_A_1,3.782054,[3.363244]
7ZPV_A_1,3.8799834,[3.167332]
1YLW_A_1,3.8822148,[3.2011619]
6D7I_A_1,3.870719,[3.0639765]
5TWD_A_1,3.8610547,[3.2847817]
8AF8_A_1,3.8767986,[3.305876]
6CYN_A_1,3.8502553,[3.53918]
4PMA_A_1,0.9630534,[2.5458567]
1A30_A_1,4.167561,[3.5819876]
5D2O_A_1,1.6394649,[2.4857216]
