apo_name,true_label,predicted_label
2OUV_A_1,8.522723,[6.6591506]
1O73_A_1,1.9548372,[5.3444304]
6NTP_A_1,9.128823,[7.7833443]
4BJO_A_1,7.5608807,[7.0183225]
2F6F_A_1,7.9059744,[7.6067348]
4QBE_A_1,7.8978105,[6.949804]
5KA4_A_1,7.213529,[6.6844907]
6CWV_A_1,7.981354,[6.3535743]
6CWU_A_1,7.9326577,[7.2338853]
7KEN_A_1,7.8149276,[7.2025104]
7L0C_A_1,7.7894077,[6.709805]
3A5K_A_1,7.7665625,[7.700294]
3ZV2_A_1,8.25236,[6.888901]
4CKZ_A_1,3.3738415,[5.116751]
1CAN_A_1,4.140302,[4.656754]
3MNJ_A_1,4.1369333,[4.4975767]
1ZSA_A_1,3.4809418,[4.4983497]
1CAK_A_1,3.296996,[4.3191905]
12CA_A_1,4.1551027,[4.1079946]
1CA3_A_1,4.1008286,[4.348412]
1UGD_A_1,4.1463895,[4.389854]
1CAJ_A_1,3.296996,[4.6656575]
1HED_A_1,3.2445416,[4.423314]
1CNH_A_1,4.2293005,[4.7361374]
1UGF_A_1,4.139837,[4.474485]
2NXR_A_1,4.141303,[4.330194]
1HEA_A_1,3.2824237,[4.6954975]
1CCT_A_1,3.3452659,[4.6828923]
3DVD_A_1,5.14909,[4.769532]
1CAL_A_1,3.3162649,[4.39407]
9CA2_A_1,3.042811,[4.0212197]
3MNK_A_1,4.142635,[5.235737]
1CAI_A_1,3.296996,[4.1710143]
1TH9_A_1,4.173479,[4.889441]
1HEB_A_1,3.2825415,[4.538648]
3DVC_A_1,5.148861,[4.749828]
1G3Z_A_1,4.057468,[4.8248453]
3RG4_A_1,4.1915336,[4.8756137]
1TG3_A_1,5.1585927,[4.7467046]
1CNI_A_1,4.2621136,[4.3248744]
1CNG_A_1,3.4397168,[4.358279]
1H9N_A_1,3.5729108,[4.557838]
1BIC_A_1,3.3917072,[4.522405]
1UGE_A_1,4.108273,[4.7076054]
1CCU_A_1,3.3452659,[4.5561204]
4QK1_A_1,4.116049,[5.0531344]
4YGJ_A_1,4.122528,[4.4158745]
3DV7_A_1,5.151066,[4.446698]
1CCS_A_1,3.3435767,[3.9512258]
7CA2_A_1,3.0406842,[4.4238687]
1CVF_A_1,4.510287,[4.3129897]
1HEC_A_1,3.2847116,[4.433579]
3DVB_A_1,5.148794,[4.6959352]
1CVE_A_1,3.5813978,[4.5236397]
8CA2_A_1,3.0631206,[3.9045613]
1UGC_A_1,4.106978,[4.858871]
1UGA_A_1,4.120177,[4.382727]
2NWO_A_1,5.160262,[4.298821]
3RG3_A_1,4.2132516,[4.7529216]
2NWY_A_1,4.145458,[4.616422]
1CNB_A_1,4.547288,[4.6357636]
1HVA_A_1,4.5254927,[4.3351502]
2FNK_A_1,5.1339974,[4.600841]
1FQL_A_1,4.1442637,[4.6459174]
1YO0_A_1,4.262053,[3.977523]
1LG5_A_1,3.3703973,[4.222198]
3M1Q_A_1,5.2163815,[4.195488]
1CVD_A_1,3.5729108,[4.9198833]
1CVH_A_1,3.4810338,[4.5982943]
4MD7_E_1,3.731822,[5.319226]
4MD8_E_1,3.7329202,[4.4699464]
2R7I_A_1,3.7986329,[3.9091785]
5ZN5_A_1,4.044492,[4.656889]
4MD9_E_1,3.554365,[5.224444]
4DGL_C_1,4.1990356,[4.64389]
5ZN4_A_1,4.05482,[5.45241]
5ZN3_A_1,4.0333433,[5.231253]
5ZN2_A_1,4.0034885,[5.7168803]
2PV3_A_1,1.3798342,[6.1001887]
5GKY_B_1,2.6315193,[4.543337]
