apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[1.7893858]
1O73_A_1,1.9548372,[1.9299743]
6NTP_A_1,9.128823,[1.6956863]
3SME_A_1,8.262643,[1.5825841]
4BJO_A_1,7.5608807,[1.5396945]
2F6F_A_1,7.9059744,[1.7753198]
4QBE_A_1,7.8978105,[1.6676328]
5KA4_A_1,7.213529,[1.6369851]
6CWV_A_1,7.981354,[1.6035073]
6CWU_A_1,7.9326577,[1.6761043]
1I57_A_1,7.9206886,[1.727186]
7KEN_A_1,7.8149276,[1.5929234]
7L0C_A_1,7.7894077,[1.6740949]
3A5K_A_1,7.7665625,[1.7982969]
3ZV2_A_1,8.25236,[1.644109]
1H05_A_1,3.2727282,[2.4062214]
4CKZ_A_1,3.3738415,[1.8677485]
1CAN_A_1,4.140302,[1.8088739]
5ZXW_A_1,4.205081,[1.8969431]
3MNJ_A_1,4.1369333,[1.7798364]
5CA2_A_1,3.3917072,[1.8684654]
1ZSA_A_1,3.4809418,[1.8133256]
1CAK_A_1,3.296996,[1.8129997]
12CA_A_1,4.1551027,[1.7908108]
1CA3_A_1,4.1008286,[1.8105369]
1UGD_A_1,4.1463895,[1.792968]
1CAJ_A_1,3.296996,[1.8002374]
1HED_A_1,3.2445416,[1.8057115]
1CNH_A_1,4.2293005,[1.8135934]
1UGF_A_1,4.139837,[1.8460915]
2NXR_A_1,4.141303,[1.8212159]
1HEA_A_1,3.2824237,[1.8181944]
1CCT_A_1,3.3452659,[1.8329494]
1UGB_A_1,4.1469254,[1.8499706]
1CVA_A_1,3.3452659,[1.8494184]
1LZV_A_1,4.1218195,[1.7880633]
3DVD_A_1,5.14909,[1.7940943]
6CA2_A_1,3.0536087,[1.8093269]
1CAL_A_1,3.3162649,[1.8423426]
9CA2_A_1,3.042811,[1.8277218]
3MNK_A_1,4.142635,[1.7277367]
1CAI_A_1,3.296996,[1.8224046]
1TH9_A_1,4.173479,[1.8216307]
1HEB_A_1,3.2825415,[1.8330755]
3DVC_A_1,5.148861,[1.7530444]
1DCA_A_1,3.3427968,[1.8554235]
1G3Z_A_1,4.057468,[1.8355556]
3RG4_A_1,4.1915336,[1.7720249]
1TG3_A_1,5.1585927,[1.7875686]
1H9Q_A_1,3.5762584,[1.8419368]
1CNI_A_1,4.2621136,[1.8088441]
1CNG_A_1,3.4397168,[1.838326]
1H9N_A_1,3.5729108,[1.7756968]
1BIC_A_1,3.3917072,[1.8423378]
1UGE_A_1,4.108273,[1.7878735]
1CCU_A_1,3.3452659,[1.8604906]
4QK1_A_1,4.116049,[1.9536898]
4YGJ_A_1,4.122528,[1.7896752]
3DV7_A_1,5.151066,[1.7104232]
1CCS_A_1,3.3435767,[1.8705623]
7CA2_A_1,3.0406842,[1.7922933]
1CVF_A_1,4.510287,[1.891834]
1HEC_A_1,3.2847116,[1.8193543]
1CVC_A_1,4.508988,[1.8325357]
3DVB_A_1,5.148794,[1.7096112]
1CVE_A_1,3.5813978,[1.8422112]
8CA2_A_1,3.0631206,[1.811898]
1UGC_A_1,4.106978,[1.8241985]
1UGA_A_1,4.120177,[1.7675531]
2NWO_A_1,5.160262,[1.7490671]
3RG3_A_1,4.2132516,[1.7514579]
2NWY_A_1,4.145458,[1.8548658]
1CNB_A_1,4.547288,[1.8280098]
1HVA_A_1,4.5254927,[1.8373835]
1MUA_A_1,4.142195,[1.8000448]
2FNK_A_1,5.1339974,[1.7210078]
1FQL_A_1,4.1442637,[1.7795429]
1YO0_A_1,4.262053,[1.9040334]
1LG5_A_1,3.3703973,[1.9761031]
3M1Q_A_1,5.2163815,[1.9967947]
1CVD_A_1,3.5729108,[1.8528101]
1CVH_A_1,3.4810338,[1.8318608]
3QPL_A_1,1.7914771,[1.8186669]
6BN8_C_1,2.753169,[1.4998014]
2PV3_A_1,1.3798342,[2.8835123]
2PV1_A_1,1.1994487,[1.9161837]
1M5Y_A_1,4.064401,[2.661373]
5GKY_B_1,2.6315193,[1.771306]
2PPP_A_1,2.2742937,[1.3779304]
2PPO_A_1,2.3127685,[2.022503]
1EYM_A_1,2.600794,[1.6480982]
3O71_A_1,6.024683,[2.05919]
7E73_A_1,3.744397,[2.2086205]
3ZU7_A_1,5.9916024,[2.1873276]
6OT6_A_1,6.004528,[2.3085039]
6OTS_A_1,5.7045937,[2.1358888]
3R63_A_1,6.032362,[2.3079507]
2FYS_A_1,5.992795,[2.187272]
4S2Z_A_1,6.0364895,[2.3044956]
4S30_A_1,6.021448,[2.1109962]
6D5Y_A_1,3.6304314,[2.171987]
7E75_A_1,3.5722876,[2.2320738]
2GPH_A_1,6.010352,[2.1735342]
6RFP_A_1,1.8824314,[2.1104426]
4IZ7_A_1,4.082472,[1.9697697]
2E7O_A_1,4.0966973,[1.8883574]
1OS2_A_1,2.9718325,[1.7408526]
3BA0_A_1,2.9894872,[2.5310843]
2K9C_A_1,3.650009,[3.6653335]
1AWQ_A_1,8.062663,[2.1046095]
3K0O_A_1,2.8578627,[1.9623978]
3K0R_A_1,2.4175236,[1.963762]
