apo_name,true_label,predicted_label
1NNA_A_1,2.6186945,[1.5242736]
1O73_A_1,1.398155,[1.4816744]
6NTP_A_1,3.0213943,[1.4934199]
3SME_A_1,2.8744812,[1.4779011]
4BJO_A_1,2.7497056,[1.4893926]
2F6F_A_1,2.8117564,[1.481989]
4QBE_A_1,2.8103044,[1.5129791]
5KA4_A_1,2.6858015,[1.4572835]
6CWV_A_1,2.825129,[1.4778907]
6CWU_A_1,2.8164973,[1.4805332]
1I57_A_1,2.8143718,[1.4791195]
7KEN_A_1,2.795519,[1.4647926]
7L0C_A_1,2.790951,[1.4875233]
3A5K_A_1,2.7868552,[1.4799862]
3ZV2_A_1,2.872692,[1.4872382]
1H05_A_1,1.8090683,[1.4047668]
4CKZ_A_1,1.836802,[1.3935866]
1CAN_A_1,2.0347733,[1.3883058]
5ZXW_A_1,2.0506294,[1.3765023]
3MNJ_A_1,2.0339453,[1.4163541]
5CA2_A_1,1.8416588,[1.3957661]
1ZSA_A_1,1.8657283,[1.3932995]
1CAK_A_1,1.8157632,[1.3993809]
12CA_A_1,2.0384068,[1.3970892]
1CA3_A_1,2.0250504,[1.3774691]
1UGD_A_1,2.0362685,[1.4076549]
1CAJ_A_1,1.8157632,[1.3939946]
1HED_A_1,1.8012611,[1.3990636]
1CNH_A_1,2.0565264,[1.4056545]
1UGF_A_1,2.034659,[1.4057635]
2NXR_A_1,2.0350192,[1.3882859]
1HEA_A_1,1.811746,[1.3946258]
1CCT_A_1,1.8290068,[1.3901782]
1UGB_A_1,2.0364,[1.4062098]
1CVA_A_1,1.8290068,[1.3881295]
1LZV_A_1,2.0302265,[1.4095432]
3DVD_A_1,2.2691605,[1.4028289]
6CA2_A_1,1.7474577,[1.3985014]
1CAL_A_1,1.8210615,[1.3900255]
9CA2_A_1,1.7443655,[1.3990936]
3MNK_A_1,2.0353463,[1.4320129]
1CAI_A_1,1.8157632,[1.3935833]
1TH9_A_1,2.0429094,[1.3995924]
1HEB_A_1,1.8117785,[1.3977526]
3DVC_A_1,2.2691102,[1.4014704]
1DCA_A_1,1.8283317,[1.4008882]
1G3Z_A_1,2.0143158,[1.3993754]
3RG4_A_1,2.0473235,[1.386369]
1TG3_A_1,2.2712536,[1.4104476]
1H9Q_A_1,1.8910998,[1.3945751]
1CNI_A_1,2.0644886,[1.4144208]
1CNG_A_1,1.8546474,[1.4057317]
1H9N_A_1,1.8902144,[1.4034303]
1BIC_A_1,1.8416588,[1.4065952]
1UGE_A_1,2.0268874,[1.3981674]
1CCU_A_1,1.8290068,[1.3943772]
4QK1_A_1,2.0288048,[1.4183209]
4YGJ_A_1,2.030401,[1.3863133]
3DV7_A_1,2.2695959,[1.4015201]
1CCS_A_1,1.828545,[1.3933165]
7CA2_A_1,1.7437558,[1.3950872]
1CVF_A_1,2.1237435,[1.4022417]
1HEC_A_1,1.8123773,[1.3903317]
1CVC_A_1,2.1234376,[1.3856239]
3DVB_A_1,2.2690954,[1.406619]
1CVE_A_1,1.8924581,[1.4113979]
8CA2_A_1,1.7501773,[1.3918289]
1UGC_A_1,2.026568,[1.4115591]
1UGA_A_1,2.0298219,[1.405568]
2NWO_A_1,2.271621,[1.4062357]
3RG3_A_1,2.0526206,[1.3977871]
2NWY_A_1,2.0360398,[1.409896]
1CNB_A_1,2.132437,[1.3853647]
1HVA_A_1,2.1273205,[1.4278283]
1MUA_A_1,2.0352383,[1.3958145]
2FNK_A_1,2.2658327,[1.4023027]
1FQL_A_1,2.0357466,[1.3893788]
1YO0_A_1,2.064474,[1.3957458]
1LG5_A_1,1.8358642,[1.3929526]
3M1Q_A_1,2.2839398,[1.4407481]
1CVD_A_1,1.8902144,[1.3952732]
1CVH_A_1,1.8657529,[1.3931204]
3QPL_A_1,1.3384607,[1.5052649]
6BN8_C_1,1.6592677,[1.5277486]
2PV3_A_1,1.1746634,[1.6457825]
2PV1_A_1,1.0951935,[1.4323645]
1M5Y_A_1,2.016036,[1.6869254]
5GKY_B_1,1.6221958,[1.4080083]
2PPP_A_1,1.5080762,[1.394943]
2PPO_A_1,1.5207789,[1.3921851]
1EYM_A_1,1.6126977,[1.4099557]
3O71_A_1,2.454523,[1.5793827]
7E73_A_1,1.9350444,[1.5947247]
3ZU7_A_1,2.447775,[1.5934649]
6OT6_A_1,2.450414,[1.5701419]
6OTS_A_1,2.3884292,[1.5656221]
3R63_A_1,2.4560866,[1.5491822]
2FYS_A_1,2.4480186,[1.5562952]
4S2Z_A_1,2.4569268,[1.5337541]
4S30_A_1,2.4538639,[1.5751379]
6D5Y_A_1,1.905369,[1.6150632]
7E75_A_1,1.8900496,[1.5792083]
2GPH_A_1,2.451602,[1.5855068]
6RFP_A_1,1.3720173,[1.550111]
4IZ7_A_1,2.0205128,[1.5645082]
2E7O_A_1,2.02403,[1.4780964]
1OS2_A_1,1.7239004,[1.4543574]
3BA0_A_1,1.7290133,[1.6425242]
2K9C_A_1,1.9104997,[1.7642148]
1AWQ_A_1,2.8394828,[1.374109]
3K0O_A_1,1.6905215,[1.379878]
3K0R_A_1,1.5548388,[1.3572583]
7TA8_A_1,1.5992508,[1.3533723]
1OD0_A_1,1.4018122,[1.5260422]
6R6H_V_1,1.7391006,[1.4840134]
4WQO_A_1,1.2550614,[1.5103004]
4JX3_A_1,1.5483232,[1.5259104]
1XQZ_A_1,1.5568777,[1.5375232]
3L1A_A_1,1.9291235,[1.4468122]
2CGH_A_1,1.3422658,[1.4407787]
1CRM_A_1,2.0493526,[1.3967811]
3SK1_A_1,0.8695541,[1.6065165]
7YER_B_1,2.4738793,[1.6277924]
3FKE_A_1,2.4433548,[1.7543257]
5BPV_A_1,2.4137604,[1.4250093]
5MXE_A_1,0.62022185,[1.4909556]
5UFB_A_1,0.85561514,[1.478621]
5J80_A_1,1.8303905,[1.4135908]
8B7I_A_1,1.6628146,[1.429631]
6GP4_A_1,1.651205,[1.7498599]
2K5B_A_1,1.7266858,[1.4286368]
3FJU_A_1,0.63846034,[1.4031188]
7CML_A_1,1.7370117,[1.5947182]
5UQ1_A_1,2.376055,[1.5905796]
2NWN_A_1,3.09866,[1.4245775]
4ZKS_U_1,2.1186423,[1.4305468]
2WUD_A_1,1.3063834,[1.3977172]
1ZJD_A_1,1.9781576,[1.4311261]
1XXD_A_1,1.7501699,[1.3939284]
1IDP_A_1,1.4159902,[1.432675]
1GYJ_A_1,3.137354,[1.6185316]
1BTP_A_1,3.0616632,[1.4218082]
1EZX_C_1,3.0401397,[1.4334314]
6MRQ_A_1,1.959059,[1.426563]
1OPH_B_1,2.8905401,[1.3830745]
3VEQ_B_1,2.979033,[1.38326]
1TAW_A_1,1.9515907,[1.4248352]
1YH3_A_1,1.0293478,[1.5065387]
