apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[5.89581]
1O73_A_1,1.9548372,[5.458842]
6NTP_A_1,9.128823,[5.663944]
3SME_A_1,8.262643,[5.560386]
4BJO_A_1,7.5608807,[5.5723295]
2F6F_A_1,7.9059744,[5.7075477]
4QBE_A_1,7.8978105,[5.642711]
5KA4_A_1,7.213529,[5.5671926]
6CWV_A_1,7.981354,[5.274058]
6CWU_A_1,7.9326577,[5.5841312]
1I57_A_1,7.9206886,[5.8638945]
7KEN_A_1,7.8149276,[6.034897]
7L0C_A_1,7.7894077,[5.8924937]
3A5K_A_1,7.7665625,[5.3842673]
3ZV2_A_1,8.25236,[4.9613433]
1H05_A_1,3.2727282,[3.5558386]
4CKZ_A_1,3.3738415,[2.0755057]
1CAN_A_1,4.140302,[4.8398175]
5ZXW_A_1,4.205081,[5.128871]
3MNJ_A_1,4.1369333,[4.7608776]
5CA2_A_1,3.3917072,[5.0029]
1ZSA_A_1,3.4809418,[4.743608]
1CAK_A_1,3.296996,[4.8551784]
12CA_A_1,4.1551027,[5.2803717]
1CA3_A_1,4.1008286,[5.0105796]
1UGD_A_1,4.1463895,[4.999289]
1CAJ_A_1,3.296996,[4.5950108]
1HED_A_1,3.2445416,[4.9519477]
1CNH_A_1,4.2293005,[4.8907623]
1UGF_A_1,4.139837,[4.970604]
2NXR_A_1,4.141303,[4.845637]
1HEA_A_1,3.2824237,[4.6974926]
1CCT_A_1,3.3452659,[5.04777]
1UGB_A_1,4.1469254,[5.1413407]
1CVA_A_1,3.3452659,[4.8922467]
1LZV_A_1,4.1218195,[4.8911123]
3DVD_A_1,5.14909,[4.8632717]
6CA2_A_1,3.0536087,[5.051798]
1CAL_A_1,3.3162649,[5.0039744]
9CA2_A_1,3.042811,[4.9162364]
3MNK_A_1,4.142635,[4.8421845]
1CAI_A_1,3.296996,[4.7318654]
1TH9_A_1,4.173479,[4.830883]
1HEB_A_1,3.2825415,[4.976674]
3DVC_A_1,5.148861,[4.916892]
1DCA_A_1,3.3427968,[5.05106]
1G3Z_A_1,4.057468,[5.0646067]
3RG4_A_1,4.1915336,[4.704355]
1TG3_A_1,5.1585927,[4.7119317]
1H9Q_A_1,3.5762584,[5.089757]
1CNI_A_1,4.2621136,[4.9052615]
1CNG_A_1,3.4397168,[4.7611976]
1H9N_A_1,3.5729108,[5.258199]
1BIC_A_1,3.3917072,[4.8749247]
1UGE_A_1,4.108273,[4.9741607]
1CCU_A_1,3.3452659,[4.9840317]
4QK1_A_1,4.116049,[4.682045]
4YGJ_A_1,4.122528,[4.724307]
3DV7_A_1,5.151066,[5.071864]
1CCS_A_1,3.3435767,[4.95184]
7CA2_A_1,3.0406842,[4.8927674]
1CVF_A_1,4.510287,[5.288253]
1HEC_A_1,3.2847116,[4.8079205]
1CVC_A_1,4.508988,[5.2222166]
3DVB_A_1,5.148794,[5.0249205]
1CVE_A_1,3.5813978,[4.771845]
8CA2_A_1,3.0631206,[4.998231]
1UGC_A_1,4.106978,[4.8671875]
1UGA_A_1,4.120177,[4.764656]
2NWO_A_1,5.160262,[4.8341975]
3RG3_A_1,4.2132516,[4.6554985]
2NWY_A_1,4.145458,[5.053567]
1CNB_A_1,4.547288,[5.3029957]
1HVA_A_1,4.5254927,[5.1045833]
1MUA_A_1,4.142195,[4.967255]
2FNK_A_1,5.1339974,[4.8248067]
1FQL_A_1,4.1442637,[5.082241]
1YO0_A_1,4.262053,[5.134533]
1LG5_A_1,3.3703973,[4.99714]
3M1Q_A_1,5.2163815,[4.752418]
1CVD_A_1,3.5729108,[5.357703]
1CVH_A_1,3.4810338,[5.2382035]
3QPL_A_1,1.7914771,[5.218076]
6BN8_C_1,2.753169,[4.763651]
2PV3_A_1,1.3798342,[4.9601994]
2PV1_A_1,1.1994487,[2.5886853]
1M5Y_A_1,4.064401,[5.523391]
5GKY_B_1,2.6315193,[2.6609306]
2PPP_A_1,2.2742937,[2.3076448]
2PPO_A_1,2.3127685,[2.4797199]
1EYM_A_1,2.600794,[2.8320138]
3O71_A_1,6.024683,[5.4191923]
7E73_A_1,3.744397,[5.5881395]
3ZU7_A_1,5.9916024,[5.5723224]
6OT6_A_1,6.004528,[5.189921]
6OTS_A_1,5.7045937,[4.976427]
3R63_A_1,6.032362,[5.325039]
2FYS_A_1,5.992795,[5.280176]
4S2Z_A_1,6.0364895,[5.4016414]
4S30_A_1,6.021448,[5.497612]
6D5Y_A_1,3.6304314,[5.8261967]
7E75_A_1,3.5722876,[5.305802]
2GPH_A_1,6.010352,[5.2971277]
6RFP_A_1,1.8824314,[5.09511]
4IZ7_A_1,4.082472,[5.3896885]
2E7O_A_1,4.0966973,[3.2842388]
1OS2_A_1,2.9718325,[3.35425]
3BA0_A_1,2.9894872,[6.64869]
2K9C_A_1,3.650009,[7.5343637]
1AWQ_A_1,8.062663,[4.112142]
3K0O_A_1,2.8578627,[3.6418335]
3K0R_A_1,2.4175236,[4.5431924]
7TA8_A_1,2.5576031,[4.1656947]
1OD0_A_1,1.9650774,[6.3839464]
6R6H_V_1,3.0244708,[4.002053]
4WQO_A_1,1.5751792,[3.4596655]
4JX3_A_1,2.3973048,[5.3008285]
1XQZ_A_1,2.4238684,[5.5801597]
3L1A_A_1,3.7215176,[4.9312186]
2CGH_A_1,1.8016777,[4.9933605]
1CRM_A_1,4.199846,[5.2424498]
3SK1_A_1,0.7561243,[4.193264]
7YER_B_1,6.1200795,[4.343492]
3FKE_A_1,5.9699826,[6.6442113]
5BPV_A_1,5.826239,[3.5938754]
5MXE_A_1,0.38467512,[5.730531]
5UFB_A_1,0.73207724,[6.1525455]
5J80_A_1,3.3503292,[4.126999]
8B7I_A_1,2.7649524,[4.603274]
6GP4_A_1,2.7264779,[6.172128]
2K5B_A_1,2.981444,[3.9168582]
3FJU_A_1,0.40763164,[4.8940215]
7CML_A_1,3.0172095,[6.2912536]
5UQ1_A_1,5.645637,[5.647218]
2NWN_A_1,9.601694,[4.5700073]
4ZKS_U_1,4.4886456,[4.659955]
2WUD_A_1,1.7066374,[5.643211]
1ZJD_A_1,3.9131076,[4.8622775]
1XXD_A_1,3.0630946,[5.8707647]
1IDP_A_1,2.0050285,[4.0813518]
1GYJ_A_1,9.84299,[4.2806506]
1BTP_A_1,9.373781,[5.7654433]
1EZX_C_1,9.242449,[3.6436398]
6MRQ_A_1,3.8379123,[5.0543013]
1OPH_B_1,8.355222,[5.1933503]
3VEQ_B_1,8.874638,[4.872077]
1TAW_A_1,3.8087063,[5.2622113]
1YH3_A_1,1.0595568,[6.131678]
1ZVM_A_1,0.9674741,[5.7516932]
7DHA_A_1,3.4679642,[6.082681]
5F1K_A_1,0.9337765,[6.1120386]
3F6Y_A_1,2.4181974,[5.859808]
5F1O_A_1,1.0514232,[6.009811]
3RAJ_A_1,2.4186282,[5.691026]
2DP3_A_1,1.8111482,[4.5191207]
4BI5_A_1,2.839576,[4.5894527]
1UZ6_E_1,2.4648304,[5.130005]
1BBS_A_1,8.978439,[6.395863]
2X0B_A_1,6.882694,[5.858508]
1L0E_A_1,3.5957358,[6.2473955]
3IWQ_A_1,3.6474621,[6.631994]
1L0F_A_1,3.6568022,[5.7227345]
1L0D_A_1,3.6541648,[6.332152]
3IXD_A_1,2.2217178,[6.5310397]
3IWI_A_1,9.614262,[6.7970295]
1OBP_A_1,2.2675579,[3.6191726]
