apo_name,true_label,predicted_label
2OUV_A_1,8.522723,[2.3188417]
1O73_A_1,1.9548372,[3.5204217]
6NTP_A_1,9.128823,[3.2546546]
4BJO_A_1,7.5608807,[1.9423126]
2F6F_A_1,7.9059744,[3.0782015]
4QBE_A_1,7.8978105,[2.380548]
5KA4_A_1,7.213529,[3.0066032]
6CWV_A_1,7.981354,[3.2215939]
6CWU_A_1,7.9326577,[2.6225355]
7KEN_A_1,7.8149276,[3.050793]
7L0C_A_1,7.7894077,[2.3293796]
3A5K_A_1,7.7665625,[2.7744389]
3ZV2_A_1,8.25236,[2.6626754]
4CKZ_A_1,3.3738415,[3.247542]
1CAN_A_1,4.140302,[2.6242127]
3MNJ_A_1,4.1369333,[2.8075752]
1ZSA_A_1,3.4809418,[2.9922295]
1CAK_A_1,3.296996,[2.7154124]
12CA_A_1,4.1551027,[3.1871028]
1CA3_A_1,4.1008286,[2.916841]
1UGD_A_1,4.1463895,[2.9974236]
1CAJ_A_1,3.296996,[2.7228281]
1HED_A_1,3.2445416,[2.9095225]
1CNH_A_1,4.2293005,[2.6409454]
1UGF_A_1,4.139837,[2.9202027]
2NXR_A_1,4.141303,[2.80454]
1HEA_A_1,3.2824237,[2.2574575]
1CCT_A_1,3.3452659,[2.7749984]
3DVD_A_1,5.14909,[2.832483]
1CAL_A_1,3.3162649,[2.8573542]
9CA2_A_1,3.042811,[2.6255984]
3MNK_A_1,4.142635,[2.7074795]
1CAI_A_1,3.296996,[3.0390108]
1TH9_A_1,4.173479,[2.815925]
1HEB_A_1,3.2825415,[3.3681865]
3DVC_A_1,5.148861,[2.84017]
1G3Z_A_1,4.057468,[3.207377]
3RG4_A_1,4.1915336,[2.7989216]
1TG3_A_1,5.1585927,[2.76822]
1CNI_A_1,4.2621136,[3.2154472]
1CNG_A_1,3.4397168,[3.2630103]
1H9N_A_1,3.5729108,[2.6215155]
1BIC_A_1,3.3917072,[2.5254562]
1UGE_A_1,4.108273,[3.1294827]
1CCU_A_1,3.3452659,[2.4862287]
4QK1_A_1,4.116049,[2.181381]
4YGJ_A_1,4.122528,[2.63726]
3DV7_A_1,5.151066,[2.9748216]
1CCS_A_1,3.3435767,[2.754953]
7CA2_A_1,3.0406842,[3.1581788]
1CVF_A_1,4.510287,[3.2633533]
1HEC_A_1,3.2847116,[2.4758184]
3DVB_A_1,5.148794,[2.829886]
1CVE_A_1,3.5813978,[2.7767196]
8CA2_A_1,3.0631206,[3.065826]
1UGC_A_1,4.106978,[2.7026546]
1UGA_A_1,4.120177,[2.6870837]
2NWO_A_1,5.160262,[3.05914]
3RG3_A_1,4.2132516,[2.4340286]
2NWY_A_1,4.145458,[3.197245]
1CNB_A_1,4.547288,[2.9233081]
1HVA_A_1,4.5254927,[2.5506015]
2FNK_A_1,5.1339974,[2.3275924]
1FQL_A_1,4.1442637,[2.8199646]
1YO0_A_1,4.262053,[2.808548]
1LG5_A_1,3.3703973,[3.1352968]
3M1Q_A_1,5.2163815,[2.0286353]
1CVD_A_1,3.5729108,[3.0244532]
1CVH_A_1,3.4810338,[2.6036835]
4MD7_E_1,3.731822,[1.7811238]
4MD8_E_1,3.7329202,[1.6757643]
2R7I_A_1,3.7986329,[1.5212724]
5ZN5_A_1,4.044492,[1.7557052]
4MD9_E_1,3.554365,[1.9329731]
4DGL_C_1,4.1990356,[1.9520682]
5ZN4_A_1,4.05482,[1.7329345]
5ZN3_A_1,4.0333433,[1.6906633]
5ZN2_A_1,4.0034885,[1.7906675]
2PV3_A_1,1.3798342,[3.6470523]
5GKY_B_1,2.6315193,[3.2217755]
2PPP_A_1,2.2742937,[3.2635655]
2PPO_A_1,2.3127685,[3.3843145]
1EYM_A_1,2.600794,[3.329472]
7E73_A_1,3.744397,[2.575869]
3ZU7_A_1,5.9916024,[2.056564]
6OT6_A_1,6.004528,[2.358571]
6OTS_A_1,5.7045937,[2.434887]
3R63_A_1,6.032362,[2.730806]
2FYS_A_1,5.992795,[2.673099]
4S2Z_A_1,6.0364895,[2.9275336]
4S30_A_1,6.021448,[2.981399]
6D5Y_A_1,3.6304314,[2.4010525]
7E75_A_1,3.5722876,[2.1455278]
6RFP_A_1,1.8824314,[2.4207678]
2E7O_A_1,4.0966973,[2.722383]
1OS2_A_1,2.9718325,[2.8690686]
2K9C_A_1,3.650009,[3.5625567]
1AWQ_A_1,8.062663,[2.867333]
1OD0_A_1,1.9650774,[1.2464159]
6R6H_V_1,3.0244708,[1.4966855]
4JX3_A_1,2.3973048,[2.4567144]
2CGH_A_1,1.8016777,[2.90666]
1CRM_A_1,4.199846,[3.3361228]
3SK1_A_1,0.7561243,[2.3754134]
7YER_B_1,6.1200795,[5.259014]
3FKE_A_1,5.9699826,[3.93224]
5BPV_A_1,5.826239,[3.4758143]
5MXE_A_1,0.38467512,[2.4963198]
5UFB_A_1,0.73207724,[2.4941006]
5J80_A_1,3.3503292,[4.5249796]
8B7I_A_1,2.7649524,[3.650951]
6GP4_A_1,2.7264779,[5.7842827]
2K5B_A_1,2.981444,[3.8923593]
7CML_A_1,3.0172095,[2.9751463]
5UQ1_A_1,5.645637,[3.013824]
4ZKS_U_1,4.4886456,[2.910109]
1ZJD_A_1,3.9131076,[3.5235488]
1XXD_A_1,3.0630946,[3.1253097]
1IDP_A_1,2.0050285,[2.4931648]
1GYJ_A_1,9.84299,[6.391166]
6MRQ_A_1,3.8379123,[4.6013956]
1OPH_B_1,8.355222,[4.243712]
3VEQ_B_1,8.874638,[4.276594]
1TAW_A_1,3.8087063,[4.5299244]
1Q9P_A_1,6.943831,[5.3857117]
7DHA_A_1,3.4679642,[3.5668595]
2DP3_A_1,1.8111482,[2.4020677]
4BI5_A_1,2.839576,[2.5104282]
1BBS_A_1,8.978439,[3.3014064]
2X0B_A_1,6.882694,[3.329727]
3IWQ_A_1,3.6474621,[2.5685296]
1L0F_A_1,3.6568022,[2.955789]
1L0D_A_1,3.6541648,[2.2591507]
3IXD_A_1,2.2217178,[2.4958286]
3IWI_A_1,9.614262,[3.0785506]
1OBP_A_1,2.2675579,[4.0415473]
6C4S_A_1,1.8635042,[3.977368]
5EMT_A_1,5.735841,[3.4674225]
1KPB_A_1,5.765163,[3.4507785]
5WAA_A_1,5.315064,[3.1873517]
1G5W_A_1,2.7254083,[4.541148]
3RSW_A_1,4.3854756,[4.3478417]
8ALY_A_1,2.9403908,[2.4762151]
4KDI_A_1,2.1216106,[2.4434683]
3QC8_A_1,2.151034,[2.4429784]
2PJH_B_1,2.659788,[3.2895794]
3TIW_A_1,2.0920758,[2.7109447]
1C5M_D_1,6.500857,[2.047043]
1HCG_A_1,4.1621423,[2.1451137]
3PSL_A_1,8.508774,[4.312596]
5SXM_A_1,8.456059,[5.1150208]
2H9M_A_1,8.537142,[4.605069]
4CY2_A_1,8.566297,[4.7504706]
6BYN_W_1,8.551948,[4.8523617]
3EMH_A_1,8.475697,[5.3094788]
3MXX_A_1,8.564393,[4.0406]
3N0E_A_1,8.552443,[4.9977603]
3N0D_A_1,8.564842,[4.6624565]
4JUY_A_1,1.8029402,[3.0796204]
1FY8_E_1,4.142087,[4.158847]
1AMH_A_1,4.615971,[3.881463]
5TXS_A_1,1.3799814,[1.8972396]
1SWF_A_1,7.0715747,[5.408636]
5N7X_A_1,6.745679,[4.4383583]
1HQQ_A_1,7.0768247,[5.1064763]
1RST_B_1,6.9334946,[4.675242]
1STR_B_1,6.9597287,[5.198249]
1SWH_A_1,7.060687,[4.150496]
1SWL_A_1,6.941757,[5.027743]
1SWO_A_1,3.5413716,[4.566215]
1N7Y_A_1,7.0727143,[5.0692673]
1SWS_A_1,7.074774,[4.9342575]
1SWQ_A_1,2.091202,[4.6164827]
1PTS_A_1,6.9406834,[3.9299643]
6MGX_A_1,2.8167248,[1.840034]
4RM5_A_1,2.1739104,[2.3534746]
4TYF_A_1,1.3843422,[1.7903616]
6CAC_A_1,6.3601375,[1.736992]
3S0Z_A_1,2.63278,[2.5248833]
3S4U_A_1,5.62617,[3.5468802]
7ZPV_A_1,5.958693,[3.4991665]
1YLW_A_1,5.9664617,[3.4707983]
6D7I_A_1,5.926533,[3.4821892]
5TWD_A_1,5.8931446,[3.4695206]
8AF8_A_1,5.947621,[3.5912423]
6CYN_A_1,5.8560233,[3.3220959]
4PMA_A_1,0.61854357,[3.3741574]
1A30_A_1,7.0347877,[3.6858354]
5D2O_A_1,1.2698923,[3.1236782]
2B29_A_1,2.6926904,[4.086378]
5N8A_A_1,2.327593,[3.692966]
1PBH_A_1,2.942668,[1.3634517]
3K9M_A_1,4.7502074,[1.6871963]
5H0Z_A_1,7.1107492,[3.6765647]
5H0Y_A_1,7.21435,[3.730814]
1IJN_A_1,9.159184,[3.5791972]
5H0X_A_1,7.107049,[3.5254593]
5H0W_A_1,6.156409,[3.6105084]
2J1X_A_1,3.417084,[1.2691498]
1UOL_A_1,3.4108737,[1.2616352]
5OAN_A_1,2.2764688,[2.9675424]
3DG9_A_1,2.009228,[3.9822657]
2VLB_A_1,5.402283,[3.9988785]
3IXM_A_1,4.923174,[3.921908]
5LYO_A_1,7.923375,[3.023397]
2ZLB_A_1,5.2937074,[3.194231]
2KBW_A_1,3.1907187,[4.093417]
5JSB_A_1,3.2486115,[3.9830964]
2PQK_A_1,3.3078353,[3.804168]
5C6H_A_1,3.3110769,[3.4943662]
4HW4_A_1,3.1309292,[3.6611972]
6QFI_A_1,3.2953365,[3.738675]
5UUM_A_1,3.3716335,[3.7419825]
6MBD_A_1,3.1896708,[3.6693594]
