apo_name,true_label,predicted_label
1NNA_A_1,6.857561,[4.001303]
1O73_A_1,1.9548372,[4.2433076]
6NTP_A_1,9.128823,[4.1157084]
3SME_A_1,8.262643,[4.135357]
4BJO_A_1,7.5608807,[3.7809048]
2F6F_A_1,7.9059744,[4.0713644]
4QBE_A_1,7.8978105,[4.225088]
5KA4_A_1,7.213529,[4.6804733]
6CWV_A_1,7.981354,[4.6434507]
6CWU_A_1,7.9326577,[4.221773]
1I57_A_1,7.9206886,[4.333592]
7KEN_A_1,7.8149276,[4.5938983]
7L0C_A_1,7.7894077,[4.2405643]
3A5K_A_1,7.7665625,[4.0330772]
3ZV2_A_1,8.25236,[4.409115]
1H05_A_1,3.2727282,[3.9753177]
4CKZ_A_1,3.3738415,[3.8134143]
1CAN_A_1,4.140302,[3.8098686]
5ZXW_A_1,4.205081,[4.177604]
3MNJ_A_1,4.1369333,[3.9348407]
5CA2_A_1,3.3917072,[4.244829]
1ZSA_A_1,3.4809418,[3.9735591]
1CAK_A_1,3.296996,[4.2119303]
12CA_A_1,4.1551027,[4.0716276]
1CA3_A_1,4.1008286,[4.2745023]
1UGD_A_1,4.1463895,[4.3097773]
1CAJ_A_1,3.296996,[3.9043548]
1HED_A_1,3.2445416,[4.2435827]
1CNH_A_1,4.2293005,[4.1887307]
1UGF_A_1,4.139837,[4.117259]
2NXR_A_1,4.141303,[4.070581]
1HEA_A_1,3.2824237,[4.0799394]
1CCT_A_1,3.3452659,[3.8085124]
1UGB_A_1,4.1469254,[4.3830237]
1CVA_A_1,3.3452659,[4.09056]
1LZV_A_1,4.1218195,[3.8992155]
3DVD_A_1,5.14909,[4.105026]
6CA2_A_1,3.0536087,[4.20565]
1CAL_A_1,3.3162649,[4.074683]
9CA2_A_1,3.042811,[3.8751273]
3MNK_A_1,4.142635,[4.06596]
1CAI_A_1,3.296996,[4.0502706]
1TH9_A_1,4.173479,[4.058518]
1HEB_A_1,3.2825415,[4.112652]
3DVC_A_1,5.148861,[4.0923862]
1DCA_A_1,3.3427968,[4.0535645]
1G3Z_A_1,4.057468,[4.017952]
3RG4_A_1,4.1915336,[4.076518]
1TG3_A_1,5.1585927,[4.269214]
1H9Q_A_1,3.5762584,[3.8759387]
1CNI_A_1,4.2621136,[4.114366]
1CNG_A_1,3.4397168,[4.057489]
1H9N_A_1,3.5729108,[3.741003]
1BIC_A_1,3.3917072,[4.022473]
1UGE_A_1,4.108273,[4.1061482]
1CCU_A_1,3.3452659,[3.9646592]
4QK1_A_1,4.116049,[3.9024348]
4YGJ_A_1,4.122528,[3.8958015]
3DV7_A_1,5.151066,[4.096221]
1CCS_A_1,3.3435767,[4.0244465]
7CA2_A_1,3.0406842,[4.1150026]
1CVF_A_1,4.510287,[4.1221037]
1HEC_A_1,3.2847116,[4.2125463]
1CVC_A_1,4.508988,[3.8226511]
3DVB_A_1,5.148794,[4.1720266]
1CVE_A_1,3.5813978,[4.026945]
8CA2_A_1,3.0631206,[3.859198]
1UGC_A_1,4.106978,[4.0433464]
1UGA_A_1,4.120177,[3.993921]
2NWO_A_1,5.160262,[4.00274]
3RG3_A_1,4.2132516,[3.9303653]
2NWY_A_1,4.145458,[4.175709]
1CNB_A_1,4.547288,[4.1734366]
1HVA_A_1,4.5254927,[4.0809603]
1MUA_A_1,4.142195,[3.957595]
2FNK_A_1,5.1339974,[4.0074244]
1FQL_A_1,4.1442637,[4.2517443]
1YO0_A_1,4.262053,[3.9935143]
1LG5_A_1,3.3703973,[4.0878367]
3M1Q_A_1,5.2163815,[3.984049]
1CVD_A_1,3.5729108,[4.1934958]
1CVH_A_1,3.4810338,[3.952138]
3QPL_A_1,1.7914771,[4.5042534]
6BN8_C_1,2.753169,[4.028069]
2PV3_A_1,1.3798342,[4.0906467]
2PV1_A_1,1.1994487,[3.584005]
1M5Y_A_1,4.064401,[3.9985878]
5GKY_B_1,2.6315193,[4.1003747]
2PPP_A_1,2.2742937,[3.3820367]
2PPO_A_1,2.3127685,[3.8880603]
1EYM_A_1,2.600794,[3.2333999]
3O71_A_1,6.024683,[3.7423193]
7E73_A_1,3.744397,[3.8356118]
3ZU7_A_1,5.9916024,[3.7165759]
6OT6_A_1,6.004528,[3.57456]
6OTS_A_1,5.7045937,[3.6675527]
3R63_A_1,6.032362,[3.6204216]
2FYS_A_1,5.992795,[3.671563]
4S2Z_A_1,6.0364895,[3.7246125]
4S30_A_1,6.021448,[3.6287267]
6D5Y_A_1,3.6304314,[3.88259]
7E75_A_1,3.5722876,[3.5716195]
2GPH_A_1,6.010352,[3.8964298]
6RFP_A_1,1.8824314,[3.6081085]
4IZ7_A_1,4.082472,[3.678484]
2E7O_A_1,4.0966973,[2.8283703]
1OS2_A_1,2.9718325,[3.7797906]
3BA0_A_1,2.9894872,[4.2634654]
