apo_name,apo_chain,holo_name,holo_chain,pocket_id,pocket_rmsd,pocket_com,protein_id,family50_id,ligand,ligand_atom_count,apo_pocket_missing_percentage,apo_loop_per,holo_loop_per
2OUV,A,5c28,A,1,2.048247814178467,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4XV,12,0.0,26.198083067092654,20.60931899641577
2OUV,A,5c2h,B,1,2.606490135192871,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4XU,31,0.0,30.993150684931507,19.157894736842103
2OUV,A,5c2a,A,1,5.04518985748291,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4Y2,20,0.0,34.07258064516129,23.03664921465969
2OUV,A,5dh5,A,1,2.555434465408325,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,5AY,28,0.0,52.185430463576154,20.36613272311213
2OUV,A,5dh4,A,1,4.845139980316162,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4PX,26,0.0,50.46874999999999,24.9667994687915
2OUV,A,4lm4,A,1,0.23338967561721802,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,JPZ,11,0.0,70.35460992907801,17.943548387096776
2OUV,A,4lm3,A,1,0.5211084485054016,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,9ZE,13,0.0,78.45884413309983,15.304347826086955
2OUV,A,4mrz,A,1,0.29983577132225037,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZV,11,0.0,75.8873929008568,18.20128479657388
2OUV,A,4lm2,A,1,0.22969071567058563,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,8ZE,12,0.0,84.3796711509716,18.25242718446602
2OUV,A,4msc,A,1,0.4215162694454193,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZT,22,0.0,79.97311827956989,20.42682926829268
2OUV,A,3uuo,A,1,0.569570004940033,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,0CV,44,0.0,84.8314606741573,21.33676092544988
2OUV,A,5c1w,A,1,2.056973695755005,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4XS,12,0.0,87.19076415612975,19.27272727272728
2OUV,A,4mrw,A,1,0.3651942312717438,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,MRW,12,0.0,88.7583035258048,16.091954022988507
2OUV,A,4lm0,A,1,0.22983808815479279,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,5NI,12,0.0,89.4015532206487,21.37809187279152
2OUV,A,4lkq,A,1,0.32965362071990967,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,1XM,11,0.0,89.54393770856507,17.04781704781705
2OUV,A,4lm1,A,1,0.2660810947418213,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,7ZE,13,0.0,89.90536277602523,18.29521829521829
2OUV,A,3ui7,A,1,0.6968204379081726,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,C1L,24,0.0,90.59852418693633,24.49494949494949
2OUV,A,4msn,A,1,0.3117096424102783,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZQ,13,0.0,91.59705159705159,20.13888888888889
2OUV,A,4llp,A,1,0.2627606987953186,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4ZE,9,0.0,87.78688524590163,21.994884910485936
2OUV,A,4hf4,A,1,2.232774019241333,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,15H,32,0.0,91.03554868624421,19.181034482758623
2OUV,A,4llk,A,1,0.2522892951965332,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,MEW,12,0.0,92.48768472906403,19.35483870967742
2OUV,A,4llx,A,1,0.24914467334747314,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,5ZE,9,0.0,92.55208333333333,22.05513784461153
2OUV,A,4msa,A,1,0.23405314981937408,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZM,12,0.0,94.14539400665927,17.115384615384617
2OUV,A,4llj,A,1,0.3314475119113922,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,1XN,11,0.0,93.67135455218357,20.13888888888889
2OUV,A,4zo5,B,1,3.347541570663452,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4Q0,36,0.0,92.73144605967866,11.594202898550725
2OUV,A,3wyk,A,1,4.054833889007568,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,3KG,28,0.0,93.66,22.98050139275766
2OUV,A,3wyl,A,1,7.63977575302124,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,3KB,30,0.0,93.1915687371759,19.047619047619047
2OUV,A,6msa,A,1,0.426291286945343,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,JY4,18,0.0,94.01986183074266,22.897196261682243
2OUV,A,5axp,A,1,3.3201539516448975,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4LK,33,0.0,93.2879899767317,18.29268292682927
2OUV,A,5i2r,A,1,0.7185931205749512,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,67A,29,0.0,94.35888562034954,20.55442866801893
2OUV,A,3wym,A,1,2.4890453815460205,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,3K9,32,0.0,93.6282601518653,17.47685185185185
2OUV,A,5c29,A,1,8.522723197937012,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4XY,15,0.0,95.05971769815417,25.8751902587519
